bib,title,note_num,note_text,note_type,record_total_notes,record_typed_notes,a_count,w_count,o_count,ow_count,source
14992991,Japanese national defense review following American and Russian naval expeditions : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15008003,"Petaluma, California tax ledger : manuscript.",1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
15350401,Records of vestry minutes and accounts : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15360935,Records of Odd Fellows Woolwich No. 4 Lodge : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15366626,[Collection of broadsides issued by the Tottenham Park Association].,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15378225,John Tregerthen Short diary : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15524473,"M. W. Holley letter, Fort Yamhill, Oregon,  to ""Dear Hazen"", 1857 May 31 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15525708,"James Cooper McKee letter, New York, New York, to George Hannah, 1881 January 11 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15532127,"Thomas Nuttall letter, Fort George, to John Kirk Townsend, Fort Vancouver, 1835 October 11 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15533541,"William H. Powell letter, Fort Morgan, Colorado, to Christopher Columbus Augur, Omaha, Nebraska, 1867 August 11 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15533673,"William Jenkins Worth letter, Puebla, Mexico, to ""My dear General"", 1847 May 30 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15542774,Lillias and Sophia Stuart music album : manuscript.,1,Title devised by cataloger.,a,4,1,1,0,0,0,martin
15543034,"P. H. Perkins letter, Todd's Valley, California, to ""Brother Cobb"", 1859 May 29 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15544068,Payment order for ranch surveys : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15547067,"T. L. Price letter, Saint Louis, Missouri, to John S. Phelps, 1853 April 30 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15563930,"Reverend Stopford album of invoices and receipts, mathematical workbook : printed text and manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15578164,Land deed to Edward Otho Cresap Ord : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15579161,"Franklin Pierce letter, Concord, New Hampshire, to James K. Polk, 1847 February 1 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15579428,Robert T. Barry journals : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15580852,New Bedford Anti Slavery Society minute book : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15581661,"Julia Nichols Tyesi letter, Middledrift, Cape Province, South Africa, to Helen Burrell, Asbury Park, New Jersey, 1934 August 15 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15583086,Maurice Baring commonplace book : manuscript.,1,Title devised by cataloger.,a,4,1,1,0,0,0,martin
15584661,Letter to Mr. Jess : typescript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15585239,Bradford E. Williams scrapbook : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15607078,"Mary, Queen of Scots letter to Gilbert Kennedy, Earl of Cassilis.",5,Title devised by cataloger.,a,5,1,1,0,0,0,martin
15607083,"Henry VIII, King of England letter signed, to Sir Richard Long and Michael Stanhope.",5,Title devised by cataloger.,a,5,1,1,0,0,0,martin
15607110,[Haloid Company photographic papers sample book].,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
15607749,French royal household accounts from reign of Louis XIII : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15653179,"John T. Harcourt petition for the Jesse Green, Jr. estate's sale of Dew and Rachael : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15662580,W. Burt scrapbook : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15665670,Olivia Wilmot Serres poems : manuscript.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
15669211,James Pemberton correspondence : manuscript copy.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15680750,[Photographs relating to Jean-Michel Basquiat and Kelle Jean Inman].,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15685766,[Photographs of Van Masters van club].,2,Title devised by cataloger.,a,3,1,1,0,0,0,martin
15698130,"[Photograph album of a soldier’s tour of duty of Burma, China, and India].",2,Title devised by cataloger.,a,3,1,1,0,0,0,martin
15757437,"Notes and formulas for the preparation of paints, varnishes, oils, etc. : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15810091,Diary describing travels in Italy and Switzerland : manuscript.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
15811939,Draft announcement on the employment of boys from the Blue Coat Hospital in Manchester : manuscript.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
15814068,Letter from Edward Fullbrook to an unidentified recipient : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15815395,Letter from James I to an unidentified recipient : manuscript.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
15816578,"Letter from Albert, Prince Consort, to Prince Victor of Hohenlohe-Langenburg : manuscript.",1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
15817320,"Letter from Albert, Prince Consort, to an unidentified recipient : manuscript.",1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
15879564,Music and songs : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15886369,The History of little Jack : manuscript.,1,Title devised by cataloger.,a,4,1,1,0,0,0,martin
15887800,Recipe book : manuscript.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
15887908,Pierre Denis Dardenne medical recipe book : manuscript.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
15898511,Margaret Emma Caldwell diaries : manuscript.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
15935711,"Hannah More letter, Barley Wood, to Dr. Percival, October 14 : manuscript.",1,Title devised by cataloger.,a,4,1,1,0,0,0,martin
15940323,Diary in Turkey and Greece : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15945283,"Richard Merrick letter, Jericho, St. Thos. in the Vale, to John Harfield Tredgold, London, 1840 January 10 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15945323,Thomas Sutton commonplace book : manuscript.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
15947966,John Le Capelain letter to J.J. Gabousel : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15952369,Remarks on the Battle of Buena Vista by Brevet Major Carleton : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15956397,Bakumatsu era reports and letters : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15963391,Manuscript book of verses : manuscript.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
15968633,Album relating to Richard Parkes Bonington : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15972388,Lacovia Plantation account book : manuscript.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
15974079,Sir Everard Home letter books containing letters to Sir James Everard Home : manuscript.,1,Title devised by cataloger.,a,5,1,1,0,0,0,martin
15980461,"Mary Linwood letter, to an unidentified recipient, July 27, about trilobite and fossil specimens she has obtained : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
15982183,"Sir Henry Holland papers, 1805-1868 (bulk 1805-1843).",3,Title devised by cataloger.,a,4,1,1,0,0,0,martin
15985480,"Admission ticket for the Mary Linwood exhibition at Hanover Sqr. Concert Rooms, 1802 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16005058,Albert Henry Warren scrapbook.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16005223,"Robert Bruce letter concerning the wax sculpture of his mother, Rose Bruce : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16015135,Westfield School Society records of the Westfield School District : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16025227,Dialing notebook : manuscript.,2,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16026249,"Philadelphia, Pennsylvania municipal charter : manuscript copy.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16026273,William MacMurdo Duncan scrapbook : printed text and manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16036593,Ojibwa dictionary : manuscript.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
16041386,The Lord’s prayer : manuscript copy.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16047759,Daniel Boardman sermon : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16051878,David Ely sermon : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16057966,James Lockwood sermon : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16058900,Henry A. Lovell account book : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16066545,Thomas Bradbury Chandler sermon : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16066559,Samuel Checkley sermon : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16067321,James Eckersall account book for 1731 and 1732 : manuscript.,1,Title devised by cataloger.,a,5,1,1,0,0,0,martin
16067451,Ephraim Griswold Swift sermon : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16076032,Roger Sherman account book : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16077977,"José de Gálvez letter to Antonio Maria Bucareli y Ursùa, 1776 August 12 : manuscript.",1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
16090299,Justus Forward sermon : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16091246,James Wallace Bentley diary : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16096225,Nehemiah Walter sermons : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16096247,Samuel John Mills sermon : manuscript.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
16099439,Architecture notebook relating to the papal conclave of 1689 : manuscript.,1,Title devised by cataloger.,a,4,1,1,0,0,0,martin
16099454,"Jonathan Edwards agreement with the town of Bolton, Connecticut : photostatic copy.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16111692,Hartford and New-Haven Turnpike Company account of expenditures : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16113072,Pilot guide for the Spanish frigate Juno : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16130291,Document recommending Leverett A. Hemingway for post of prison inspector : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16143298,"Benjamin Tallmadge letter, Wethersfield, Connecticut, to Nathan Hale, New London, Connecticut, 1774 July 4 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16146837,[Photograph of musician figurines in front of jazz albums].,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16152334,"George Berkeley letter, Rhode Island, to Henry Newman, Holborn, London, 1730 March 29 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16168951,Religious miscellany : manuscript.,1,Title devised by cataloger.,a,6,1,1,0,0,0,martin
16175767,"Ezekiel Cheever notes of a Boston, Massachusetts prayer meeting : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16201316,Volume of two tracts of John Eliot : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16201465,Thomas Cartwright letters against Brownism : manuscript.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
16216657,Henry Martyn Dexter abstract of Robert Harrison’s A little treatise vppon the firste verse of the 122. Psalm : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16219148,"Eleazer Wheelock letter to Joseph Bellamy, Bethlehem, Connecticut, 1742 April 11 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16219183,"James Davenport letter ""to the Revd. moderator of ye Association of ye County of Lichfield"" : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16221393,Francis White letter to “Mr. Young” : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16267802,Dialing notebook : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16268344,Notebook of astronomical instruments : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16336449,Hans Smit advertisements of medicines : typescript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16341083,"Program for 1914 concert featuring the music and songs of Black composers, performed at Ebenezer Methodist Episcopal Church, Jacksonville, Florida : typescript / printed by Chas. J. Lightsy, 615 W. Duval St.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16345183,Livres de Pierre Lecuire: Exposition à la Bibliothèque Nationale de France : videorecording / Architecte de l'exposition Frédéric Beauclair Réalisation: Jean-Louis Laforêt Assisté de: Jean-François Bauret Arthur Cemin Musique: Erich Wolfgang Korngold.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
16369969,Press release containing Willa Robertson's prize-winning essay My experiences with integration : typescript.,2,Title devised by cataloger.,a,3,1,1,0,0,0,martin
16371425,"Notes on religion, care of the body, monarchy, and other subjects : manuscript.",1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
16383772,Verena Roy notebook : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16393294,"Program for Dark cavalcade : a drama with music, presented by the Negro Little Theatre of Norwalk : typescript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16423337,A list and short description of the birds of the United States according to Alexander Wilson's American ornithology : manuscript.,2,Title devised by cataloger.,a,3,1,1,0,0,0,martin
16427980,Richard Polwhele notebooks : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16428028,"Journal and commonplace book of a young lady, 30 September 1794 : manuscript and printed text.",1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
16428438,Diary : manuscript.,2,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16473451,"Copy of letter to Rufus Ingalls and table of distances from Walla Walla to Salt Lake City, 1858 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16476902,George Foljambe pocket book recording expenditure in London : manuscript.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
16491608,John Seton notebook of private expenses : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16548396,"James Weldon Johnson letter, to Charles H. Wesley, 1937 August 11 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16582496,"John H. Pleasonton letter to his father, 1823 June 13.",2,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16592391,"Citizen Kane : pre-production script, a Mercury Production : typescript / direction-production Orson Welles ; screenplay Herman J. Mankiewicz [and] Orson Welles.",1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
16600188,Emily Griffin commonplace book : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16640284,Diary and commonplace book : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
16641586,880-02 Berāt of Abdülhamid II : manuscript.,1,Title devised by cataloger.,a,4,1,1,0,0,0,martin
16663817,Houghton family leases and library catalogue : manuscript.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
16807408,Debt acknowledgement of Robert Borthwick of Vergennes to John Love of Shoreham for $200.00 : manuscript.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
16860290,John Eliot financial accounts and letterbooks : manuscript.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
17070862,"Letter from Henry Rivington Hill to his sister describing George IV's Coronation, 1821 July 26 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
17132920,Diplomas and certificates granted to Giovanni Maria : manuscript.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
17141366,Buch von den probierten Künsten : manuscript.,1,Title devised by cataloger.,a,4,1,1,0,0,0,martin
17173073,"Scrapbook with caricatures and other prints, manuscripts, cuttings, drawings, silhouettes, poems]",1,Title devised by cataloger.,a,5,1,1,0,0,0,martin
17175708,"Francis A. Harris letter to Benjamin Coates, 1845 January 25 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
17175712,"Samuel Huntington letter, to Heman Swift, 1787 May 17 : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
17190602,Herbert Feis memoir : typescript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
17196755,Thomas Tipton accounts and memoranda book : manuscript.,1,Title devised by cataloger.,a,3,1,1,0,0,0,martin
17199833,Notebook of poems : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
17203396,Student notes on and drawings of human anatomy : manuscript.,1,Title devised by cataloger.,a,6,1,1,0,0,0,martin
17251678,"À l'ombre des jeunes filles en fleurs : galley proof, with autograph corrections and additions.",2,Title devised by cataloger.,a,3,1,1,0,0,0,martin
17253427,Naval log book describing voyages and engagements in Central America and China : manuscript.,1,Title devised by cataloger.,a,4,1,1,0,0,0,martin
17264062,Pali-language fragments.,1,Title devised by cataloger.,a,5,1,1,0,0,0,martin
17265765,Medical manuscript fragment.,1,Title devised by cataloger.,a,5,1,1,0,0,0,martin
17357730,Richard Worsam Meade diary and copy book on his first trip to England and Europe : including details of the extralegal seizure of American vessels by the British Navy : manuscript.,1,Title devised by cataloger.,a,5,1,1,0,0,0,martin
17358368,Seven fragments from the Aṣṭasāhasrikā Prajñāpāramitā Sūtra.,1,Title devised by cataloger.,a,4,1,1,0,0,0,martin
17373873,"Collection of treatises, translations, and correspondence : manuscript.",1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
17405592,Aziel Barnes poetry : composed between 1815 and 1843 : manuscript.,1,Title devised by cataloger.,a,2,1,1,0,0,0,martin
13195070,880-02 Rashf al-zulāl min al-siḥr al-ḥalāl : manuscript / Jalāl al-Dīn al-Suyūṭī.,1,Title from incipit (folio 1a).,a,10,7,2,1,4,0,zoe
13195070,880-02 Rashf al-zulāl min al-siḥr al-ḥalāl : manuscript / Jalāl al-Dīn al-Suyūṭī.,2,Romanization supplied by cataloger.,a,10,7,2,1,4,0,zoe
13195220,Biographies of Muslim leaders : manuscript.,9,Romanization supplied by cataloger.,a,54,4,1,0,3,0,zoe
13195313,880-02 al-Fatʹḥ al-mubīn bi-sharḥ al-Arbaʻīn : manuscript / Shihāb al-Dīn Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,1,Title from folio 2b.,a,14,7,2,1,4,0,zoe
13195313,880-02 al-Fatʹḥ al-mubīn bi-sharḥ al-Arbaʻīn : manuscript / Shihāb al-Dīn Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,2,Romanization supplied by cataloger.,a,14,7,2,1,4,0,zoe
13195320,880-02 al-Īḍāḥ fī al-nikāḥ wa-al-bāh : manuscript / Jalāl al-Dīn al-Suyūṭī.,1,Title from folio 2b.,a,14,7,2,1,4,0,zoe
13195320,880-02 al-Īḍāḥ fī al-nikāḥ wa-al-bāh : manuscript / Jalāl al-Dīn al-Suyūṭī.,2,Romanization supplied by cataloger.,a,14,7,2,1,4,0,zoe
13195481,880-02 ʻAlam al-malāḥah fī ʻilm al-filāḥah : manuscript / ʻAbd al-Ghanī al-Nābulusī.,1,Title from folio 2a.,a,14,7,2,1,4,0,zoe
13195481,880-02 ʻAlam al-malāḥah fī ʻilm al-filāḥah : manuscript / ʻAbd al-Ghanī al-Nābulusī.,2,Romanization supplied by cataloger.,a,14,7,2,1,4,0,zoe
13195482,880-02 Taqyīdāt ʻalá Sharḥ al-ʻAllāmah al-Saʻd ʻalá matn al-ʻAqāʼid al-Nasafīyah : manuscript / Muḥammad ibn Aḥmad ibn ʻArafah al-Dasūqī al-Mālikī.,1,Title from folio 1a.,a,10,7,2,1,4,0,zoe
13195482,880-02 Taqyīdāt ʻalá Sharḥ al-ʻAllāmah al-Saʻd ʻalá matn al-ʻAqāʼid al-Nasafīyah : manuscript / Muḥammad ibn Aḥmad ibn ʻArafah al-Dasūqī al-Mālikī.,2,Romanization supplied by cataloger.,a,10,7,2,1,4,0,zoe
13195483,880-02 Mukhtaṣar Qawāʻid al-Zarkashī : manuscript / ʻAbd al-Wahhāb ibn Aḥmad al-Shaʻrānī.,1,Title from folio 1a.,a,13,7,2,1,4,0,zoe
13195483,880-02 Mukhtaṣar Qawāʻid al-Zarkashī : manuscript / ʻAbd al-Wahhāb ibn Aḥmad al-Shaʻrānī.,2,Romanization supplied by cataloger.,a,13,7,2,1,4,0,zoe
13195484,880-03 al-Maqāmāt al-Ḥarīrīyah : manuscript / al-Qāsim ibn ʻAlī al-Ḥarīrī.,1,Title from folio 1a.,a,11,7,2,1,4,0,zoe
13195484,880-03 al-Maqāmāt al-Ḥarīrīyah : manuscript / al-Qāsim ibn ʻAlī al-Ḥarīrī.,2,Romanization supplied by cataloger.,a,11,7,2,1,4,0,zoe
13195485,880-02 Ḥāshiyat al-Amīr al-Kabīr ʻalá Sharḥ al-Samarqandīyah lil-Mullawī : manuscript / Muḥammad ibn Muḥammad al-Amīr al-Kabīr.,1,Title supplied by cataloger.,a,12,7,2,1,4,0,zoe
13195485,880-02 Ḥāshiyat al-Amīr al-Kabīr ʻalá Sharḥ al-Samarqandīyah lil-Mullawī : manuscript / Muḥammad ibn Muḥammad al-Amīr al-Kabīr.,2,Romanization supplied by cataloger.,a,12,7,2,1,4,0,zoe
13195489,880-03 al-Risālah al-Qushayrīyah : manuscript / ʻAbd al-Karīm ibn Hawāzin al-Qushayrī.,1,Title from the printed versions.,a,12,7,2,1,4,0,zoe
13195489,880-03 al-Risālah al-Qushayrīyah : manuscript / ʻAbd al-Karīm ibn Hawāzin al-Qushayrī.,2,Romanization supplied by cataloger.,a,12,7,2,1,4,0,zoe
13202255,Sir Harry Trelawny diary : manuscript.,1,Title devised by cataloger.,a,3,2,1,0,1,0,zoe
13202368,880-02 Fatʹḥ al-mutaʻāl ʻalá al-qaṣīdah al-musammāh bi-Lāmīyat al-afʻāl : manuscript / Ḥamad ibn Muḥammad al-Ṣaʻīdī al-Mālikī.,1,Title from folio 1a.,a,9,7,2,1,4,0,zoe
13202368,880-02 Fatʹḥ al-mutaʻāl ʻalá al-qaṣīdah al-musammāh bi-Lāmīyat al-afʻāl : manuscript / Ḥamad ibn Muḥammad al-Ṣaʻīdī al-Mālikī.,2,Romanization supplied by cataloger.,a,9,7,2,1,4,0,zoe
13202374,880-02 al-Jawhar al-maknūn fī ṣadaf al-thalāthat al-funūn : manuscript / ʻAbd al-Raḥmān ibn Muḥammad al-Akhḍarī.,1,Title from folio 2a.,a,12,6,2,0,4,0,zoe
13202374,880-02 al-Jawhar al-maknūn fī ṣadaf al-thalāthat al-funūn : manuscript / ʻAbd al-Raḥmān ibn Muḥammad al-Akhḍarī.,2,Romanization supplied by cataloger.,a,12,6,2,0,4,0,zoe
13202376,880-02 al-Minaḥ al-Ilāhīyah bi-sharḥ baʻḍ al-awrād al-Bakrīyah : manuscript / ʻAlī ibn ʻAbd al-Barr al-Wanāʼī.,1,Title from folio 2b.,a,12,6,2,1,3,0,zoe
13202376,880-02 al-Minaḥ al-Ilāhīyah bi-sharḥ baʻḍ al-awrād al-Bakrīyah : manuscript / ʻAlī ibn ʻAbd al-Barr al-Wanāʼī.,2,Romanization supplied by cataloger.,a,12,6,2,1,3,0,zoe
13202380,880-02 Risālah fī sharḥ qawlihi taʻālá Innamā yaʻmuru masājida Allāh : manuscript / ʻUmar ibn ʻAlī al-Ṭaḥlāwī.,1,Title from folio 1a.,a,10,7,2,1,4,0,zoe
13202380,880-02 Risālah fī sharḥ qawlihi taʻālá Innamā yaʻmuru masājida Allāh : manuscript / ʻUmar ibn ʻAlī al-Ṭaḥlāwī.,2,Romanization supplied by cataloger.,a,10,7,2,1,4,0,zoe
13202389,880-02 al-Maqālah al-sanīyah li-dalāʼil al-ashkāl al-ramlīyah : manuscript / Abū ʻAbd Allāh al-Zinātī.,1,Title from folio 2b.,a,10,7,2,1,4,0,zoe
13202389,880-02 al-Maqālah al-sanīyah li-dalāʼil al-ashkāl al-ramlīyah : manuscript / Abū ʻAbd Allāh al-Zinātī.,2,Romanization supplied by cataloger.,a,10,7,2,1,4,0,zoe
13202396,880-02 al-Aḥkām al-muhimmah fī shurūṭ Ahl al-Dhimmah : manuscript / Ḍiyāʼ al-Dīn Abū al-Hudá ʻAlamī.,1,Title from incipit.,a,11,7,2,1,4,0,zoe
13202396,880-02 al-Aḥkām al-muhimmah fī shurūṭ Ahl al-Dhimmah : manuscript / Ḍiyāʼ al-Dīn Abū al-Hudá ʻAlamī.,2,Romanization supplied by cataloger.,a,11,7,2,1,4,0,zoe
13211813,880-01 Ashkāl al-taʼsīs min Kitāb Iqlīdis : manuscript.,1,Title from incipit.,a,11,6,2,1,3,0,zoe
13211813,880-01 Ashkāl al-taʼsīs min Kitāb Iqlīdis : manuscript.,2,Romanization supplied by cataloger.,a,11,6,2,1,3,0,zoe
13211824,880-02 Faṣl al-khiṭāb fī uṣūl lughat al-Aʻrāb : manuscript / Nāṣīf ibn ʻAbd Allāh al-Yāzijī al-Lubnānī.,1,Title from incipit.,a,11,7,2,1,4,0,zoe
