bib,title,note_num,note,type
3670544,"Note-book of experiments and observations on anatomy and physiology / George Gulliver, January 1839.",4,Includes much of his original research on the blood.,w
3670618,al-Durr al-manẓūm. -- 1731 or 2.,1,Variant title in manuscript: Naẓm farāʾiḍ Multaqá al-abḥur.,w
3670618,al-Durr al-manẓūm. -- 1731 or 2.,2,"Islamic binding, in brown, with flap.",o
3670618,al-Durr al-manẓūm. -- 1731 or 2.,3,With: 6 other titles.,o
3670642,[Kitāb fī al-farāʾiḍ]. -- 1828 or 9.,1,"Islamic binding, in brown, with flap.",o
3670642,[Kitāb fī al-farāʾiḍ]. -- 1828 or 9.,2,Followed by an untitled 2-page treatise on same subject; ends abruptly.,w
3670642,[Kitāb fī al-farāʾiḍ]. -- 1828 or 9.,3,Last 3 leaves comprised of notes.,w
3670642,[Kitāb fī al-farāʾiḍ]. -- 1828 or 9.,4,With: 6 other titles.,o
3670725,al-ʻArūḍ al-Andalusī. -- [17--].,1,"Islamic binding, in brown, with flap.",o
3670725,al-ʻArūḍ al-Andalusī. -- [17--].,2,A few pages of notes precede and follow main text.,w
3670725,al-ʻArūḍ al-Andalusī. -- [17--].,3,With: 6 other titles.,o
3670732,"Ye Sette of Odd Volumes : ""Idler"" collection : typescript.",1,Looseleaf.,o
3670732,"Ye Sette of Odd Volumes : ""Idler"" collection : typescript.",2,Title from first page.,a
3670810,"Book of accounts, 1793-1803.",1,Caption title; the 22 p. at end contain the doctor's handwritten comments on some patients tended during 1793-95.,aw
3670810,"Book of accounts, 1793-1803.",2,"Photocopy by Thomas G. Falco (then assistant historical librarian, Yale medical historical library) at New Haven, Conn., 1974; from original owned by Beekman C. Cannon, Master of Yale's Jonathan Edwards College. Yale med copy is 21 leaves, and 28 cm.",o
3670810,"Book of accounts, 1793-1803.",3,Each photocopied leaf has 2 pages of text.,o
3670835,"Excelsior diary : Columbian edition, 1893 / [signed in ink on title page: Geo. W. Vansint].",1,"Diary includes a blank page for each date, printed almanac and calendar, and pages for accounts.",w
3670835,"Excelsior diary : Columbian edition, 1893 / [signed in ink on title page: Geo. W. Vansint].",2,"Although this is obviously a physician's book, detailing his practice in New York City, I can find no listing of Vansint in Polk's, AMA, NUC, New York Acad., or Worldcat directories.",aw
3670835,"Excelsior diary : Columbian edition, 1893 / [signed in ink on title page: Geo. W. Vansint].",3,"Manuscript, written in ink on lined paper, is notebook, diary, and account book; it was donated to Yale Med by Charles Anchie in November, 1966.",ow
3670836,"Account book, 1862-1870.",1,"Includes patient information concerning the doctor's practice in New Haven, Conn.",w
