bib_id,title,note_num,note_text,note_type,record_total_notes,w_count,o_count,a_count,aw_count,ow_count,ao_count,unknown_count,source
17516968,"""Every day is bargain day here!"" store sign.",1,Source - Sam Goldstein.,w,2,1,0,1,0,0,0,0,daniel
17516969,"""New styles inside"" store sign.",1,Source - Sam Goldstein.,w,2,1,0,1,0,0,0,0,daniel
17516970,"""Sorry! Due to limited space we cannot display our many new styles"" store sign.",1,Source - Sam Goldstein.,w,2,1,0,1,0,0,0,0,daniel
17516971,"""We will be closed for the holidays"" store sign.",1,Source - Sam Goldstein.,w,2,1,0,1,0,0,0,0,daniel
17516972,"""Men's shoes in extra wide widths"" store sign.",1,Source - Sam Goldstein.,w,2,1,0,1,0,0,0,0,daniel
17516993,"A short guide for intending emigrants to Victoria, the garden state of Australia.",2,Front cover features the 'Advance Australia' coat of arms (which was in use until the Commonwealth coat of arms was introduced in 1908). This coat of arms is also presented in an inverted configuration.,w,4,1,1,2,0,0,0,0,daniel
17517042,"Sailing bills for Shaw Savill and Blue Funnel joint service, Liverpool to Australia.",1,From collection: Shaw Savill & Albion Company Papers,w,2,1,0,1,0,0,0,0,daniel
17517043,"Brochure for Dominion Monarch, Shaw Savill Line, England-South Africa-Australia-New Zealand.",1,From collection: Shaw Savill & Albion Company Papers,w,2,1,0,1,0,0,0,0,daniel
17517044,"Shaw Savill Lines, England, South Africa, Australia and New Zealand : fare schedule.",1,From collection: Shaw Savill & Albion Company Papers,w,2,1,0,1,0,0,0,0,daniel
17517045,"Passenger list : Shaw Savill and Albion Line, R.M.S. Ionic.",1,From collection: Shaw Savill & Albion Company Papers,w,2,1,0,1,0,0,0,0,daniel
17517046,"Passenger list : Shaw Savill and Albion Co., Ltd. : Royal Mail line between London and New Zealand via Panama Canal, R.M.S. Corinthic.",1,From collection: Shaw Savill & Albion Company Papers,w,2,1,0,1,0,0,0,0,daniel
17517047,"Unused passengers log : Shaw Savill and Albion Co., Ltd. : Royal Mail line between London and New Zealand via Panama Canal.",1,From collection: Shaw Savill & Albion Company Papers,w,2,1,0,1,0,0,0,0,daniel
17517048,"Shaw Savill & Albion Co. Royal Mail steamship line : London & Plymouth to Teneriffe, Capetown, Tasmania (Hobart), Australia & New Zealand : official guide and handbook, 1910.",1,From collection: Shaw Savill & Albion Company Papers,w,2,1,0,1,0,0,0,0,daniel
17517049,"Programme of entertainment in aid of the Liverpool seamen's orphanage on board R.M.S. Runic, Shaw Savill and Albion Line.",1,From collection: Shaw Savill & Albion Company Papers,w,2,1,0,1,0,0,0,0,daniel
17517050,"Timetable of Royal Mail steamers between London and New Zealand, Shaw Savill and Albion Co. Limited.",1,From collection: Shaw Savill & Albion Company Papers,w,2,1,0,1,0,0,0,0,daniel
17517051,"Christmas menus from R.M.S. Gothic, Shaw Savill and Albion (White Star Line).",1,From collection: Shaw Savill & Albion Company Papers,w,2,1,0,1,0,0,0,0,daniel
17517052,"Concert programme on board R.M.S. Doric, Shaw Savill and Albion Line, in aid of Dreadnought Seamans Hospital.",1,From collection: Shaw Savill & Albion Company Papers,w,2,1,0,1,0,0,0,0,daniel
17517053,"Sailing bill for Shaw Savill and Albion, Royal Mail steamers to and from New Zealand with fleet and fares.",1,From collection: Shaw Savill & Albion Company Papers,w,2,1,0,1,0,0,0,0,daniel
17517054,"Passenger list and log for R.M.S. Tainui, Shaw Savill and Albion Line : London-Plymouth-The Cape of Good Hope-Tasmania-New Zealand.",1,From collection: Shaw Savill & Albion Company Papers,w,2,1,0,1,0,0,0,0,daniel
17517055,"Passenger list and log for R.M.S. Ionic, Shaw Savill and Albion Line : London-Plymouth-Tenerife-The Cape of Good Hope-Tasmania-New Zealand.",1,From collection: Shaw Savill & Albion Company Papers,w,2,1,0,1,0,0,0,0,daniel
17517056,"Plan of poop accommodation for clipper ship Monarch and sailing bill for Shaw Savill and Albion, Royal Mail steamers between London and New Zealand with fleet and timetables.",1,From collection: Shaw Savill & Albion Company Papers,w,2,1,0,1,0,0,0,0,daniel
17517112,J. Bruce Ismay account book.,1,From collection: Papers Regarding Ismay and The White Star Line,w,2,1,0,1,0,0,0,0,daniel
17517113,Sailing cards for the Liverpool to New York service on the National Line.,1,From collection: Papers Regarding Ismay and The White Star Line,w,2,1,0,1,0,0,0,0,daniel
17517114,Correspondence and accounts of T. H. Ismay and J. B. Ismay.,1,From collection: Papers Regarding Ismay and The White Star Line,w,2,1,0,1,0,0,0,0,daniel
17517115,Collection of correspondence regarding the organisation of papers and old account books after the death of Thomas H. Ismay.,1,From collection: Papers Regarding Ismay and The White Star Line,w,2,1,0,1,0,0,0,0,daniel
17517116,List of T. H. Ismay's papers.,1,From collection: Papers Regarding Ismay and The White Star Line,w,2,1,0,1,0,0,0,0,daniel
17517117,Purchase agreement from the Oceanic Steam Navigation Company.,1,From collection: Papers Regarding Ismay and The White Star Line,w,2,1,0,1,0,0,0,0,daniel
17517145,Sailing cards. Volume I.,1,From collection: The Gracie Beazley Collection,w,2,1,0,1,0,0,0,0,daniel
17517146,Sailing cards. Volume II.,1,From collection: The Gracie Beazley Collection,w,2,1,0,1,0,0,0,0,daniel
17517174,"Canada settlers, 1817. Volume 1, A-Z.",2,Document includes lists of passenger names. This volume includes searchable printed documents.,w,3,1,1,1,0,0,0,0,daniel
17517182,"North American settlers and offices, 1822.",2,Document includes lists of passenger names.,w,3,1,1,1,0,0,0,0,daniel
17517183,"North America settlers, 1823.",2,Document includes lists of passenger names.,w,3,1,1,1,0,0,0,0,daniel
17517213,"Emigration, North America and Australia, 1835. Volume I, Emigration committee, Mr Marshall, Mr Buchanan and the agents.",2,Document includes lists of passenger names.,w,4,1,2,1,0,0,0,0,daniel
14524346,"James Shields letter, Faribault, Montana, to Derek Colburn, Boston, Massachusetts, 1856 July 2 : manuscript.",2,Accompanied by a typed transcript made by an unidentified transcriber.,w,2,1,0,1,0,0,0,0,martin
14524592,America : manuscript.,2,Accompanied by a typed transcript made by an unidentified transcriber.,w,2,1,0,1,0,0,0,0,martin
14526285,880-03 Fatʹḥ al-Mubdiʻ fī sharḥ al-Muqniʻ : manuscript / Abū Yaḥyá Zakarīyā ibn Muḥammad al-Anṣārī.,3,"Incipit: ""Bismillāh al-Raḥmān al-Raḥīm. Qāla al-Shaykh al-Imām, al-ʻālim al-ʻallāmah, Zakarīyā al-Anṣārī al-Shāfiʻī, raḥimahu Allāh: Bismillāh al-Raḥmān al-Raḥīm. al-Ḥamdu lillāh alladhī jabara qulūb al-ʻulamāʼ bi-amdād jadhrihi al-matīn, wa-fataḥa la-hum bāb istikhrāj al-majhūl min al-maʻlūm al-razīn, wa-ashhadu an lā ilāha illā Allāh waḥdahu lā sharīka lah, Rabb al-ʻĀlamīn, wa-ashhadu anna Muḥammadan ʻabduhu wa-rasūluh sayyid al-mursalīn, ṣallá Allāh ʻalayhi wa-ʻalá ālihi wa-ṣaḥbihi ajmaʻīn. Wa-baʻd, fa-inna al-Muqniʻ al-manẓūm ʻalá baḥr al-ṭawīl fī ʻilm al-jabr wa-al-muqābalah, lil-Imām al-muḥaqqiq wa-al-ḥabr al-mudaqqiq, Abī al-ʻAbbās Shihāb al-Dīn Aḥmad ibn Muḥammad ibn ʻAlī al-shahīr bi-Ibn al-Hāʼim al-Shāfiʻī, ṭayyaba Allāh tharāh wa-jaʻala al-jannah maʼwāh, lammā kāna min abdaʻ kitāb fī al-jabr nuẓim, wa-ajmaʻ mawḍūʻ fīhi ʻalá miqdār ḥajmihi ruqim, ṭalaba minnī baʻḍ al-aʻizzah ʻalayy min al-fuḍalāʼ al-mutaraddidīn ilayy an aḍaʻa ʻalayhi sharḥan yaḥullu alfāẓah, wa-yubayyinu murādah, wa-yuqayyidu muṭlaqah, wa-yaftaḥu mughlaqah, fa-ajabtuhu ilá dhālik bi-ʻawn al-Qādir al-Mālik, ʻalá wajh laṭīf wa-manhaj munīf, wa-sammaytuhu bi-Fatʹḥ al-Mubdiʻ fī sharḥ al-Muqniʻ ...""",w,11,4,3,2,0,2,0,0,martin
14526285,880-03 Fatʹḥ al-Mubdiʻ fī sharḥ al-Muqniʻ : manuscript / Abū Yaḥyá Zakarīyā ibn Muḥammad al-Anṣārī.,4,Secundo folio: qawluhu ʻalá al-Nabī al-Muṣṭafá.,w,11,4,3,2,0,2,0,0,martin
14526285,880-03 Fatʹḥ al-Mubdiʻ fī sharḥ al-Muqniʻ : manuscript / Abū Yaḥyá Zakarīyā ibn Muḥammad al-Anṣārī.,7,"In fair naskh script, in black ink, on white paper; the phrases of ""al-Muqniʻ fī ʻilm al-jabr wa-al-muqābalah"" in red; some notes and corrections on the margins; catchwords.",w,11,4,3,2,0,2,0,0,martin
14526285,880-03 Fatʹḥ al-Mubdiʻ fī sharḥ al-Muqniʻ : manuscript / Abū Yaḥyá Zakarīyā ibn Muḥammad al-Anṣārī.,9,"The text of ""al-Muqniʻ fī ʻilm al-jabr wa-al-muqābalah"" starts with: ""Bi-ḥamdi Ilāhī abtadī mā uḥāwilu // wa-uhdī ṣalātan maʻ salāmin yushākiluh. ʻAlá al-Muṣṭafá khayr al-anāmi wa-ālihi // wa-aṣḥābihi thumma al-duʻā yatawāṣalu. Li-fakhri al-zamān al-muntamī li-Jilāwatin // ʻAlīyin ʻalayhi suḥbu jūdin hawāṭilu ..."" And it ends with: ""... Wa-abyātuhā tisʻun wa-khamsūna unshiʼat // bi-al-Aqṣá wa-shahri al-yumni fa-hiya tuṭāwilu. Rabīʻun min al-ʻāmi alladhī ḍabṭu ʻaddihi // bi-Dālin wa-Ḍādin fa-al-thanā mutakāmilu."" ""al-Sharḥ: Ay bi-ʻām arbaʻah wa-thamānimiʼah, idh al-Dāl fī al-ḥisā̕b al-madhkūr [ḥisāb al-jummal], bi-arbaʻah, wa-al-Ḍād bi-thamānimiʼah ...""",w,11,4,3,2,0,2,0,0,martin
14526291,880-02 Sharḥ al-ʻArūḍ al-Andalusī : manuscript / ʻAbd al-Muḥsin al-Qayṣarī.,3,"Incipit: ""Bismillāh al-Raḥmān al-Raḥīm. Aḥmadu Allāh ʻalá an qaṣara salāmat al-ṭabʻ ʻalá nawʻ al-insān, wa-aḍmara fī ṭayy ṣudūrihim ḍurūb al-awdhān [al-awzān], wa-ḥallāhum bi-natāʼij fikr tuzrī ʻalá al-laʼālī al-manthūrah fī aḥshāʼ al-buḥūr, bul tuzrī bi-al-farāʼid al-manẓūmah fī qalāʼid nuḥūr al-ḥūr, ḥamdan dāʼiman ghayr maqṭūʻ, wa-ashkuruhu shukran musbaghan bi-al-uṣūl wa-muzayyalan [wa-mudhayyalan] bi-al-furūʻ, mā wuqifa fī ghāyāt al-āyāt ʻalá al-fawāṣil wa-al-aʻjāz, wa-kushifa bi-kaff al-bayān qināʻ al-rayb ʻan wujūh al-iʻjāz ...""",w,11,3,2,2,0,4,0,0,martin
14526291,880-02 Sharḥ al-ʻArūḍ al-Andalusī : manuscript / ʻAbd al-Muḥsin al-Qayṣarī.,4,Secundo folio: ʻinda kaffihi al-maʻarrāt ʻan al-kaff.,w,11,3,2,2,0,4,0,0,martin
14526291,880-02 Sharḥ al-ʻArūḍ al-Andalusī : manuscript / ʻAbd al-Muḥsin al-Qayṣarī.,7,"In good naskh/ruqʻah script, in black ink, on white paper; the phrases of ""al-ʻArūḍ al-Andalusī"" preceded by the the word ""Qāla"" (He said) and the commentary by the word ""Qultu"" (I said), in red; markings in red; many commentaries on the margins; text within red frame surrounded by a larger frame; catchwords.",w,11,3,2,2,0,4,0,0,martin
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,3,"Incipit: ""Bismillāh al-Raḥmān al-Raḥīm, wa-bi-hi nastaʻīn, wa-Huwa ḥasbī wa-niʻma al-wakīl. Qāla al-Shaykh al-Imām al-ʻāmil al-ʻallāmah, al-ʻumdah al-ḥabr al-baḥr al-fahhāmah, jāmiʻ ashtāt al-faḍāʼil, baqīyat al-salaf al-amāthil, Abū ʻAbd Allāh Aḥmad ibn Ḥajar al-Haythamī al-Shāfiʻī al-Makkī, aʻāda Allāh ʻalaynā min barakātihi wa-barakāt ʻulūmihi al-bāhiyah al-bāhirah, wa-afāḍa ʻalaynā wa-ʻalá al-Muslimīn min fayḍ madad buḥūr funūnihi al-zākiyah al-fākhirah, wa-taghammadahu bi-raḥmatih wa-askanahu baḥbūḥat Jannatih. Āmīn. al-Ḥamdu lillāh alladhī ikhtaṣṣa Nabīyanā Muḥammadan, ṣallá Allāh ʻalayhi wa-sallam, bi-Kitābihi alladhī akhrasa al-fuṣaḥāʼ wa-aʻjaza al-bulaghāʼ ʻan al-tafawwuh bi-mithl aqṣar sūrah min suwarih, bal āyah min āyātih, wa-bi-jawāmiʻ al-kalim, wa-badāʼiʻ al-ḥikam, wa-ʻaẓīm al-khulq fī sāʼir aqwālih wa-afʻālih wa-ḥālātih ...""",w,14,7,2,2,0,3,0,0,martin
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,4,Secundo folio: wa-ṣifātihi wa-shamāʼilahu lā tustaqṣá.,w,14,7,2,2,0,3,0,0,martin
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,8,"On folio 1a: An endowment statement: ""Awqafa hādhā al-kitāb lillāh taʻālá Aḥmad Muḥammad al-Najjārī.""",w,14,7,2,2,0,3,0,0,martin
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,9,"On folio 1a: ""Kitāb al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah, taʼlīf al-Shaykh al-Imām, al-ʻālim al-ʻallāmah, ʻumdat al-muḥaqqiqīn, wa-ruḥalat al-muḥaddithīn, wa-ṣadr al-mudarrisīn, Abī ʻAbd Allāh Aḥmad Shihāb al-Dīn al-Haythamī, al-shahīr bi-Ibn Ḥajar al-Haythamī, saqá Allāh qabrahu bi-al-raḥmah wa-al-ruḍwān wa-askanahu fasīḥ al-jinān. Āmīn. Yā Rabb al-ʻĀlamīn. Wa-ṣallá Allāh ʻalá man lā nabī baʻdah, wa-al-ḥamdu lillāh waḥdah.""",w,14,7,2,2,0,3,0,0,martin
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,10,"On folio 1a: Biographical information about al-Būṣīrī, and some verses of his poetry, quoted from the commentary of al-Jawjarī (Muḥammad ibn ʻAbd al-Munʻim, 1418-1484) on ""al-Burdah"" (another well-known panegyrical poem by al-Būṣirī priaising the Prophet Muḥammad), stating that al-Būṣīrī died in the year 695 of the Hijrah (1295/1296) at al-Mārastān al-Manṣūrī in Cairo.",w,14,7,2,2,0,3,0,0,martin
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,11,"On folio 1b: ""... wa-sammaytuhu 'al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah', thumma balaghanī anna al-nāẓim sammāhā 'Umm al-Qurá', tashbīhan la-hā bi-Makkah, bi-jāmiʻ annahā ḥawat bi-ṭarīq al-taṣrīḥ, aw, al-īmāʼ mā fī akthar al-madāʼiḥ, wa-ḥīnaʼidhin sammaytuhu 'Afḍal al-qirā li-qurrāʼ Umm al-Qurá' ...""",w,14,7,2,2,0,3,0,0,martin
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,12,"""al-Hamzīyah"" of al-Būṣīrī starts with: Kayfa tarqá ruqīyaka al-anbiyāʼu // yā samāʼan mā ṭāwalathā samāʼu. It ends with: Mā aqāma al-ṣalāta man ʻabada Allāha wa-qāmat bi-Rabbihā al-ashyāʼu.",w,14,7,2,2,0,3,0,0,martin
14526306,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 1 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,2,"Incipit: ""Bismillāh al-Raḥmān al-Raḥīm. al-Ḥamdu lillāh alladhī anzala al-Qurʼān kalāman muʼallafan munaẓẓaman, wa-nazzalahu bi-ḥasab al-maṣāliḥ munajjaman, wa-jaʻalahu bi-al-taḥmīd muftataḥan, wa-bi-al-istiʻādhah mukhtataman, wa-awḥāhu ʻalá qismayn mutashābihan wa-muḥkaman, wa-faṣṣalahu suwaran, wa-suwaruhu āyāt, wa-mayyaza baynahunna bi-fuṣūl wa-ghāyāt, wa-mā hiya illā ṣifāt mubtadiʼ mubtadiʻ, wa-simāt munshiʼ mukhtariʻ, fa-subḥāna man istaʼthara bi-al-awwalīyah wa-al-qidam, wa-wasama kull shayʼ bi-al-ḥudūth ʻan al-ʻadam, anshaʼahu kitāban sāṭiʻan tibyānuhu, qāṭiʻan burhānuhu, waḥyan nāṭiqan bi-bayyināt wa-ḥujaj, Qurʼānan ʻArabīyan ghayr dhī ʻiwaj, miftāḥan lil-manāfiʻ al-dīnīyah wa-al-dunyāwīyah ...""",w,9,4,3,1,0,1,0,0,martin
14526306,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 1 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,3,Secundo folio: wa-ʻalá jamīʻ al-Muhājirīn wa-al-Anṣār.,w,9,4,3,1,0,1,0,0,martin
14526306,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 1 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,7,"On the label of the front cover: ""al-Juzʼ al-awwal min Tafsīr al-Kashshāf, min al-Fātiḥah li-ghāyat al-Aʻrāf, mudhahhab wa-muṭallā ruʼūs al-suwar.""",w,9,4,3,1,0,1,0,0,martin
14526306,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 1 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,8,"At the head of the text on folio 1b: ""Bismillāh al-Raḥmān al-Raḥīm. Lā yamassuhu illā al-muṭahharūn. Tanzīl min Rabb al-ʻĀlamīn.""",w,9,4,3,1,0,1,0,0,martin
14526315,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 3 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,2,"Incipit: ""Sūrat al-Kahf. Makkīyah. Wa-hiya miʼah wa-iḥdá ʻashrata āyah. Bismillāh al-Raḥmān al-Raḥīm, wa-bi-hi nastaʻīn. Laqqana Allāh ʻibādahu wa-faqqaqahum kayfa yuthnūna ʻalayhi wa-yaḥmadūnahu ʻalá ajzal naʻmāʼihi ʻalayhim, wa-hiya niʻmat al-Islām, wa-mā anzala ʻalá ʻabdihi Muḥammad min al-Kitāb, alladhī huwa sabab najātihim wa-fawzihim, wa-lam yajʻal la-hu ʻiwajan, wa-lam yajʻal la-hu shayʼan min al-ʻiwaj qaṭṭ. Wa-al-ʻiwaj fī al-maʻānī ka-al-ʻiwaj fī al-aʻyān ...""",w,8,3,3,1,0,1,0,0,martin
14526315,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 3 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,3,Secundo folio: Allāh waladan mutaʻalliq bi-al-mundharīn.,w,8,3,3,1,0,1,0,0,martin
14526315,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 3 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,8,"Colophon: No colophon. The work ends with the commentary on Sūrat al-Nās (Chapter 114, the last sūrah of the Qurʼān) and a pious invocation by the author: ""Qāla ʻabd Allāh al-faqīr ilayhi: Wa-anā aʻūdh bi-himā [al-Muʻawwidhatayn], wa-bi-jamīʻ kalimāt Allāh al-kāmilah al-tāmmah, wa-alūdhu bi-kanaf raḥmatihi al-shāmilah al-ʻāmmah min kull mā yaklimu al-dīn wa-yathlimu al-yaqīn ... wa-asʼaluhu bi-khuḍūʻ al-ʻunq wa-khushūʻ al-baṣar, wa-bi-mā ʻunītu bi-hi min muhājaratī ilayhi, wa-mujāwaratī wa-murābaṭatī bi-Makkah wa-muṣābaratī ... wa-bi-mā laqītu min kadḥ al-yamīn wa-ʻaraq al-jabīn fī ʻamal al-Kashshāf ... bayna ẓahrānay al-Ḥaram wa-bayna yaday al-Bayt al-Muḥarram, ḥattá waqaʻa al-taʼwīl ḥaythu wujida al-Tanzīl, an yahaba lī khātimat al-khayr, wa-yaqiyanī maṣāriʻ al-sūʼ, wa-yatajāwaza ʻan faraṭātī Yawm al-Tanād, wa-lā yafḍaḥanī bi-hā ʻalá ruʼūs al-ashhād, wa-yaḥullanī Dār al-Maqāmah, min faḍlihi, bi-wāsiʻ ṭawlihi wa-sābigh thawābih. Innahu Huwa al-jawwād al-karīm, al-raʼūf al-raḥīm. al-Ḥamdu lillāh Rabb al-ʻĀlamīn. Tamm. (Seal of Muḥammad Ismāʻīl).""",w,8,3,3,1,0,1,0,0,martin
14526321,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 2 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,2,"Incipit: ""Sūrat al-Aʻrāf Makkīyah, ghayr thamān āyāt: 'Wa-salhum ʻan al-Qaryah' ilá 'Wa-idh nataqnā'. Wa-hiya miʼatān wa-khams āyāt. Bismillāh al-Raḥmān al-Raḥīm. Kitāb: Khabar mubtadaʼ maḥdhūf, ay, huwa Kitāb, wa-unzila ilayka ṣifah la-hu, wa-al-murād bi-al-Kitāb al-sūrah, fa-lā yakun fī ṣadrika ḥaraj minhu, ay, shakk minhu, ka-qawlihi: Fa-in kunta fī shakk mimmā anzalnā ilayka, wa-maʻná al-shakk ḥarijan, li-anna al-shākk ḍayyiq al-ṣadr ḥarijuhu, kamā anna al-mutayaqqin munshariḥ al-ṣadr munfasiḥuhu, ay, lā tashukka fī annahu muzal min Allāh, aw, ḥarij min tablīghih, li-annahu kāna yakhāfu qawmahu wa-takdhībahum la-hu wa-iʻrāḍahum ʻanhu wa-adhāhum, fa-kāna yaḍīqu ṣadruhu min al-adāʼ wa-lā yanbasiṭu la-hu, fa-ammanahu Allāh wa-nahāhu min al-mubālāh bi-him ...""",w,11,5,2,1,0,3,0,0,martin
14526321,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 2 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,3,Secundo folio: wa-qalīlan nuṣiba bi-tadhakkarūn.,w,11,5,2,1,0,3,0,0,martin
14526321,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 2 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,9,"The commentary on Sūrat al-Kahf ends with: ""ʻAn Rasūl Allāh, ṣallá Allāh ʻalayhi wa-sallam: Man qaraʼa Sūrat al-Kahf, kadhā, min ākhirihā kānat la-hu nūran min qarnihi ilá qadamih, wa-man qaraʼahā kullahā kānat la-hu nūran min al-arḍ ilá al-samāʼ. Wa-ʻanhu, ʻalayhi al-salām: Man qaraʼa ʻinda maḍjaʻihi: 'Qul innamā anā basharun mithlukum', kāna la-hu fī maḍjaʻihi nūr yatalaʼlaʼu ilá Makkah taḥshū dhālika al-nūr malāʼikah yuṣallūna ʻalayhi ḥattá yaqūm, wa-in kāna maḍjaʻuhu bi-Makkah kāna la-hu nūr yatalaʼlaʼu min maḍjaʻihi ilá al-Bayt, ḥashū dhālika al-nūr malāʼikah yuṣallūna ʻalayhi ḥattá yastayqiẓa ...""",w,11,5,2,1,0,3,0,0,martin
