bib,title,num,type,note,review,reviewer,source
17516968,"""Every day is bargain day here!"" store sign.",1,w,Source - Sam Goldstein.,n,zid,zid
17516968,"""Every day is bargain day here!"" store sign.",2,a,Title from publisher's website.,y,zid,zid
17516969,"""New styles inside"" store sign.",1,w,Source - Sam Goldstein.,n,zid,zid
17516969,"""New styles inside"" store sign.",2,a,Title from publisher's website.,y,zid,zid
17516970,"""Sorry! Due to limited space we cannot display our many new styles"" store sign.",1,w,Source - Sam Goldstein.,n,zid,zid
17516970,"""Sorry! Due to limited space we cannot display our many new styles"" store sign.",2,a,Title from publisher's website.,y,zid,zid
17516971,"""We will be closed for the holidays"" store sign.",1,w,Source - Sam Goldstein.,n,zid,zid
17516971,"""We will be closed for the holidays"" store sign.",2,a,Title from publisher's website.,y,zid,zid
17516972,"""Men's shoes in extra wide widths"" store sign.",1,w,Source - Sam Goldstein.,n,zid,zid
17516972,"""Men's shoes in extra wide widths"" store sign.",2,a,Title from publisher's website.,y,zid,zid
17516973,Universal Hosiery Company store sign.,1,a,Title from publisher's website.,y,zid,zid
17516974,American Railway Express sign.,1,a,Title from publisher's website.,y,zid,zid
17516975,Sign for German beer.,1,a,Title from publisher's website.,y,zid,zid
17516976,"Letter, Rebecca Greaves from Plenty River to England.",1,o,From collection: Diaries / Journals / Letters,y,zid,zid
17516976,"Letter, Rebecca Greaves from Plenty River to England.",2,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516976,"Letter, Rebecca Greaves from Plenty River to England.",3,o,Text is difficult to read due to the script and the reverse side text showing through the front pages.,y,zid,zid
17516976,"Letter, Rebecca Greaves from Plenty River to England.",4,a,Title from publisher's website.,y,zid,zid
17516977,Letter from John Hollway after arriving from England in Melbourne.,1,o,From collection: Diaries / Journals / Letters,y,zid,zid
17516977,Letter from John Hollway after arriving from England in Melbourne.,2,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516977,Letter from John Hollway after arriving from England in Melbourne.,3,a,Title from publisher's website.,y,zid,zid
17516978,"Shipboard letter from George Allen, voyage from England to Melbourne.",1,o,From collection: Diaries / Journals / Letters,y,zid,zid
17516978,"Shipboard letter from George Allen, voyage from England to Melbourne.",2,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516978,"Shipboard letter from George Allen, voyage from England to Melbourne.",3,a,Title from publisher's website.,y,zid,zid
17516979,"Letter, Reuben Gatward to Polly : life on the goldfields.",1,o,From collection: Diaries / Journals / Letters,y,zid,zid
17516979,"Letter, Reuben Gatward to Polly : life on the goldfields.",2,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516979,"Letter, Reuben Gatward to Polly : life on the goldfields.",3,ow,"The letter is written on a wrapper for 'The Polygot Newsletter, a Summary in English, French, German and Spanish, for Transmission to Europe'. The Polygot was printed and published for the proprietors at the 'Punch' Office, Melbourne, October 1858. The wrapper has an etching of 'View on the Yarra near Dight's Mills' by F. Grusse on the front. The newsletter is an early example of a publication produced in several different languages; an indication of the 'multi-cultural' nature of the population of Victoria in the 1850s.",y,zid,zid
17516979,"Letter, Reuben Gatward to Polly : life on the goldfields.",4,a,Title from publisher's website.,y,zid,zid
17516980,"Letter, Reuben Gatward, Prahran, Melbourne to Polly, Luton, England.",1,o,From collection: Diaries / Journals / Letters,y,zid,zid
17516980,"Letter, Reuben Gatward, Prahran, Melbourne to Polly, Luton, England.",2,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516980,"Letter, Reuben Gatward, Prahran, Melbourne to Polly, Luton, England.",3,a,Title from publisher's website.,y,zid,zid
17516981,"Shipboard diary, Walter Dutton, England to Australia, 1858.",1,o,From collection: Diaries / Journals / Letters,y,zid,zid
17516981,"Shipboard diary, Walter Dutton, England to Australia, 1858.",2,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516981,"Shipboard diary, Walter Dutton, England to Australia, 1858.",3,?,"The Sarah Dixon was built at the Dixon shipyard on the Tantramar River in Sackville, New Brunswick, Canada, and launched on 18 September 1856. It made only two voyages to Australia. The first left Liverpool on 13 June 1857 under W. Salt as Master and arrived at Port Phillip Bay on 12 September 1857, returning to Britain via Guam. The second voyage, on which Walter Dutton travelled, departed Liverpool on 29 August 1858, again under W. Salt, and arrived at Port Melbourne on 6 December 1858. It was carrying 9 first-class and 190 intermediate & steerage class passengers and a cargo of machinery. The Sarah Dixon departed Melbourne on 17 January 1859 bound for Bassein under ballast. In March 1859, the ship struck Baroguy Shoal in the Gulf of Marinban, near Rangoon, Burma and was a total loss.",n,zid,zid
17516981,"Shipboard diary, Walter Dutton, England to Australia, 1858.",4,a,Title from publisher's website.,y,zid,zid
17516982,"Letter from William to John Graham, Russell Creek, Victoria.",1,o,From collection: Diaries / Journals / Letters,y,zid,zid
17516982,"Letter from William to John Graham, Russell Creek, Victoria.",2,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516982,"Letter from William to John Graham, Russell Creek, Victoria.",3,a,Title from publisher's website.,y,zid,zid
17516983,"Letter, Robert Beckett's migrant voyage on the clipper ship 'Underley', England to Melbourne, Australia.",1,o,From collection: Diaries / Journals / Letters,y,zid,zid
17516983,"Letter, Robert Beckett's migrant voyage on the clipper ship 'Underley', England to Melbourne, Australia.",2,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516983,"Letter, Robert Beckett's migrant voyage on the clipper ship 'Underley', England to Melbourne, Australia.",3,a,Title from publisher's website.,y,zid,zid
17516984,"Alfred Elder shipboard diary on the Orient Line ship 'SS St Osyth', England to Australia.",1,o,From collection: Diaries / Journals / Letters,y,zid,zid
17516984,"Alfred Elder shipboard diary on the Orient Line ship 'SS St Osyth', England to Australia.",2,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516984,"Alfred Elder shipboard diary on the Orient Line ship 'SS St Osyth', England to Australia.",3,a,Title from publisher's website.,y,zid,zid
17516985,"Diary written by Ally Heathcote on SS Northumberland, England to Melbourne : ""Steamship Northumberland : passage to Australia in 52 days : brief sketches of life on board a steam vessel"".",1,o,From collection: Diaries / Journals / Letters,y,zid,zid
17516985,"Diary written by Ally Heathcote on SS Northumberland, England to Melbourne : ""Steamship Northumberland : passage to Australia in 52 days : brief sketches of life on board a steam vessel"".",2,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516985,"Diary written by Ally Heathcote on SS Northumberland, England to Melbourne : ""Steamship Northumberland : passage to Australia in 52 days : brief sketches of life on board a steam vessel"".",3,a,Title from publisher's website.,y,zid,zid
17516986,Diary written by Charles Care of his voyage from London to Melbourne on RMS Orient.,1,o,From collection: Diaries / Journals / Letters,y,zid,zid
17516986,Diary written by Charles Care of his voyage from London to Melbourne on RMS Orient.,2,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516986,Diary written by Charles Care of his voyage from London to Melbourne on RMS Orient.,3,a,Title from publisher's website.,y,zid,zid
17516987,"Diary of David Yuile, on the SS City of Dunedin and SS Albion, Scotland to Victoria, via New Zealand.",1,o,From collection: Diaries / Journals / Letters,y,zid,zid
17516987,"Diary of David Yuile, on the SS City of Dunedin and SS Albion, Scotland to Victoria, via New Zealand.",2,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516987,"Diary of David Yuile, on the SS City of Dunedin and SS Albion, Scotland to Victoria, via New Zealand.",3,a,Title from publisher's website.,y,zid,zid
17516988,"Diary of M. P. O'Shea from the clipper ship Eastern City, Liverpool to Melbourne.",1,o,From collection: Diaries / Journals / Letters,y,zid,zid
17516988,"Diary of M. P. O'Shea from the clipper ship Eastern City, Liverpool to Melbourne.",2,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516988,"Diary of M. P. O'Shea from the clipper ship Eastern City, Liverpool to Melbourne.",3,a,Title from publisher's website.,y,zid,zid
17516989,"Letter, from Thomasina Tye, England to Arthur Tye, Melbourne.",1,o,From collection: Diaries / Journals / Letters,y,zid,zid
17516989,"Letter, from Thomasina Tye, England to Arthur Tye, Melbourne.",2,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516989,"Letter, from Thomasina Tye, England to Arthur Tye, Melbourne.",3,a,Title from publisher's website.,y,zid,zid
17516990,Caroline Chisholm scrapbook.,1,o,From collection: Emigrant Guides and Promotional Material,y,zid,zid
17516990,Caroline Chisholm scrapbook.,2,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516990,Caroline Chisholm scrapbook.,3,a,Title from publisher's website.,y,zid,zid
17516991,Emigration : its necessity and advantages.,1,o,From collection: Emigrant Guides and Promotional Material,y,zid,zid
17516991,Emigration : its necessity and advantages.,2,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516991,Emigration : its necessity and advantages.,3,a,Title from publisher's website.,y,zid,zid
17516992,The comic almanack and diary.,1,o,From collection: Emigrant Guides and Promotional Material,y,zid,zid
17516992,The comic almanack and diary.,2,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516992,The comic almanack and diary.,3,a,Title from publisher's website.,y,zid,zid
17516993,"A short guide for intending emigrants to Victoria, the garden state of Australia.",1,o,From collection: Emigrant Guides and Promotional Material,y,zid,zid
17516993,"A short guide for intending emigrants to Victoria, the garden state of Australia.",2,w,Front cover features the 'Advance Australia' coat of arms (which was in use until the Commonwealth coat of arms was introduced in 1908). This coat of arms is also presented in an inverted configuration.,n,zid,zid
17516993,"A short guide for intending emigrants to Victoria, the garden state of Australia.",3,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516993,"A short guide for intending emigrants to Victoria, the garden state of Australia.",4,a,Title from publisher's website.,y,zid,zid
17516994,Victoria : the irrigated areas : information for prospective settlers.,1,o,From collection: Emigrant Guides and Promotional Material,y,zid,zid
17516994,Victoria : the irrigated areas : information for prospective settlers.,2,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516995,Victoria for the settler : the irrigated areas.,1,o,From collection: Emigrant Guides and Promotional Material,y,zid,zid
17516995,Victoria for the settler : the irrigated areas.,2,a,Cover title.,y,zid,zid
17516995,Victoria for the settler : the irrigated areas.,3,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516996,Off to school in the Australian bush : Postcard.,1,o,From collection: Emigrant Guides and Promotional Material,y,zid,zid
17516996,Off to school in the Australian bush : Postcard.,2,a,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,y,zid,zid
17516996,Off to school in the Australian bush : Postcard.,3,o,"The reverse side has a outline map of Australia with 'Kinsmen! We Welcome You' printed across it, together with population statistics and a reference to the Australian Pavilion at the British Empire Exhibition, which was held at Wembley, England, from April-October 1924.",n,zid,zid
17516996,Off to school in the Australian bush : Postcard.,4,a,Title from publisher's website.,y,zid,zid
17516997,Stripping an average Australian wheat crop : Postcard.,1,o,From collection: Emigrant Guides and Promotional Material,y,zid,zid
