bib,title,note_num,note_text,note_type,record_total_notes,a_count,w_count,o_count,aw_count,ow_count,ao_count,unknown_count,source
17516900,Passenger list from S.S. Zuiderkruis.,2,Title from publisher's website.,a,2,1,1,0,0,0,0,0,daniel
17516901,Passenger list from M.S. Johan van Oldenbarnevelt.,2,Title from publisher's website.,a,2,1,1,0,0,0,0,0,daniel
17516902,Dock to destination.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516903,To Canada : Cunard Line.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516904,Australia's mining industries.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516905,Farming industries for small holders in Australia.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516906,Australia's industrial progress.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516907,Australia invites the British domestic girl.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516908,"Treasure island British Empire exhibition, Wembley 1925.",1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516909,Canada.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516910,"Log of the Euterpe of Southampton. Volume 1, 1884-1887.",2,Title from publisher's website.,a,2,1,0,1,0,0,0,0,daniel
17516911,"Log of the Euterpe. Volume 1 (cont.), 1884-1885.",3,Title from publisher's website.,a,3,1,0,2,0,0,0,0,daniel
17516912,"Log of the Euterpe. Volume 2, 1887-1888.",3,Title from publisher's website.,a,3,1,1,1,0,0,0,0,daniel
17516913,"Log of the Euterpe. Volume 3, 1888-1890.",2,Title from publisher's website.,a,2,1,0,1,0,0,0,0,daniel
17516914,"Log of the Euterpe. Volume 4, 1890-1892.",2,Title from publisher's website.,a,2,1,0,1,0,0,0,0,daniel
17516915,"Log of the Euterpe. Volume 5, 1891-1892.",3,Title from publisher's website.,a,3,1,1,1,0,0,0,0,daniel
17516916,"Log of the Euterpe. Volume 6, 1892-1893.",3,Title from publisher's website.,a,3,1,1,1,0,0,0,0,daniel
17516917,"Log of the Euterpe. Volume 8, 1895-1896.",2,Title from publisher's website.,a,2,1,0,1,0,0,0,0,daniel
17516918,"Log of the Euterpe. Volume 9, 1896-1897.",2,Title from publisher's website.,a,2,1,0,1,0,0,0,0,daniel
17516919,"Log of the Euterpe. Volume 10, 1897-1900.",2,Title from publisher's website.,a,2,1,0,1,0,0,0,0,daniel
17516920,"Log of the Euterpe. Volume 11, 1898-1899.",3,Title from publisher's website.,a,3,1,1,1,0,0,0,0,daniel
17516921,"Log of the Euterpe. Volume 12, 1899-1900.",3,Title from publisher's website.,a,3,1,1,1,0,0,0,0,daniel
17516922,"Log of the Euterpe. Volume 13, 1900-1903.",2,Title from publisher's website.,a,2,1,0,1,0,0,0,0,daniel
17516923,"Log of the Euterpe. Volume 14, 1902-1904.",3,Title from publisher's website.,a,3,1,0,1,0,1,0,0,daniel
17516924,"Log of the Euterpe. Volume 15, 1906-1907.",2,Title from publisher's website.,a,2,1,0,1,0,0,0,0,daniel
17516925,"Log of the Star of India. Volume 17, 1909-1911.",2,Title from publisher's website.,a,2,1,0,1,0,0,0,0,daniel
17516926,"Log of the Star of India. Volume 18, 1912-1915.",3,Title from publisher's website.,a,3,1,0,2,0,0,0,0,daniel
17516927,"Log of the Star of India. Volume 19, 1918-1920.",2,Title from publisher's website.,a,3,1,0,2,0,0,0,0,daniel
17516928,"Log of the Star of India. Volume 20, 1920-1923.",2,Title from publisher's website.,a,2,1,0,1,0,0,0,0,daniel
17516929,New tales of Euterpe : Star of India as a British emigrant ship.,2,Title from publisher's website.,a,2,1,1,0,0,0,0,0,daniel
17516930,"Landlord's log book for 97 Orchard Street, 1953 to 1981.",1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516931,Recipe for apples.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516932,Certificate of incorporation : congregation of the people of Grodna.,3,Title from publisher's website.,a,3,1,2,0,0,0,0,0,daniel
17516933,The Jewish housewife's guide : laws for making meat kosher and other important information.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516934,Business card : M. Finkelstein.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516935,"Sheet of riddles : ""fun for the whole family, can you guess these taystee riddles"".",1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516936,Steinway & Sons : brief history and explanation of the Steinway system and piano fortes.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516937,"Invoice from New Aseptic Laboratories, Columbia, S.C. for medical supplies.",1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516938,Green ticket for high holidays.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516939,Selikhes ticket.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516940,Citizenship certificate : Kalmer Hochberger.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516941,Love letter.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516942,Feltly Hats business card.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516943,Discount hats business card.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516944,Dora Meltzer palmist calling card.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516945,"Calendar fragment [Nov. 1935],",1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516946,Kosher recipes.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516947,Calendar fragment [Feb. 1935].,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516948,"Italian calendar, Jul-Aug 1934.",1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516949,"Seward Park library overdue book card, SW Ruin.",1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516950,C J Thom laundry ticket.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516951,Yiddish advertisement for English lessons.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516952,"Charles Schubert, butcher : business card.",1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516953,"Rules and regulations for plumbing and drainage water supply, gas piping and ventilation of buildings.",1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516954,"Act to amend the tenement house law, generally.",1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516955,Fire Engine Co. no. 9 ledger.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516956,Haggadah of Passover booklet.,2,Title from publisher's website.,a,2,1,0,1,0,0,0,0,daniel
17516957,"Smulewitz's musical album, Ellis Island.",1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516958,Sign for Feltly hats.,2,Title from publisher's website.,a,2,1,0,1,0,0,0,0,daniel
17516959,Sign for La Mode Bead & Novelty Co. Crystals & Pearls.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516960,Kosher Butchers Association sign.,2,Title from publisher's website.,a,2,1,0,1,0,0,0,0,daniel
17516961,Cigarette card : union vs. non-union shops.,2,Title from publisher's website.,a,2,1,0,1,0,0,0,0,daniel
17516962,Dobbs hats small sign.,2,Title from publisher's website.,a,2,1,0,1,0,0,0,0,daniel
17516963,Millinery Workers Union stamp.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516964,Sign bearing shoe shop notice.,2,Title from publisher's website.,a,2,1,1,0,0,0,0,0,daniel
17516965,Children's shoes advertising sign.,3,Title from publisher's website.,a,3,1,1,1,0,0,0,0,daniel
17516966,"""Closed to-day, will re-open to-morrow"" sign.",2,Title from publisher's website.,a,2,1,1,0,0,0,0,0,daniel
17516967,"""Hard to fit"" shoe store sign.",2,Title from publisher's website.,a,2,1,1,0,0,0,0,0,daniel
17516968,"""Every day is bargain day here!"" store sign.",2,Title from publisher's website.,a,2,1,1,0,0,0,0,0,daniel
17516969,"""New styles inside"" store sign.",2,Title from publisher's website.,a,2,1,1,0,0,0,0,0,daniel
17516970,"""Sorry! Due to limited space we cannot display our many new styles"" store sign.",2,Title from publisher's website.,a,2,1,1,0,0,0,0,0,daniel
17516971,"""We will be closed for the holidays"" store sign.",2,Title from publisher's website.,a,2,1,1,0,0,0,0,0,daniel
17516972,"""Men's shoes in extra wide widths"" store sign.",2,Title from publisher's website.,a,2,1,1,0,0,0,0,0,daniel
17516973,Universal Hosiery Company store sign.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516974,American Railway Express sign.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516975,Sign for German beer.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17516976,"Letter, Rebecca Greaves from Plenty River to England.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,4,2,0,2,0,0,0,0,daniel
17516976,"Letter, Rebecca Greaves from Plenty River to England.",4,Title from publisher's website.,a,4,2,0,2,0,0,0,0,daniel
17516977,Letter from John Hollway after arriving from England in Melbourne.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17516977,Letter from John Hollway after arriving from England in Melbourne.,3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17516978,"Shipboard letter from George Allen, voyage from England to Melbourne.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17516978,"Shipboard letter from George Allen, voyage from England to Melbourne.",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17516979,"Letter, Reuben Gatward to Polly : life on the goldfields.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,4,2,0,1,0,1,0,0,daniel
17516979,"Letter, Reuben Gatward to Polly : life on the goldfields.",4,Title from publisher's website.,a,4,2,0,1,0,1,0,0,daniel
17516980,"Letter, Reuben Gatward, Prahran, Melbourne to Polly, Luton, England.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17516980,"Letter, Reuben Gatward, Prahran, Melbourne to Polly, Luton, England.",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17516981,"Shipboard diary, Walter Dutton, England to Australia, 1858.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,4,2,0,1,0,0,0,1,daniel
17516981,"Shipboard diary, Walter Dutton, England to Australia, 1858.",4,Title from publisher's website.,a,4,2,0,1,0,0,0,1,daniel
17516982,"Letter from William to John Graham, Russell Creek, Victoria.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17516982,"Letter from William to John Graham, Russell Creek, Victoria.",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17516983,"Letter, Robert Beckett's migrant voyage on the clipper ship 'Underley', England to Melbourne, Australia.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17516983,"Letter, Robert Beckett's migrant voyage on the clipper ship 'Underley', England to Melbourne, Australia.",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17516984,"Alfred Elder shipboard diary on the Orient Line ship 'SS St Osyth', England to Australia.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17516984,"Alfred Elder shipboard diary on the Orient Line ship 'SS St Osyth', England to Australia.",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17516985,"Diary written by Ally Heathcote on SS Northumberland, England to Melbourne : ""Steamship Northumberland : passage to Australia in 52 days : brief sketches of life on board a steam vessel"".",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17516985,"Diary written by Ally Heathcote on SS Northumberland, England to Melbourne : ""Steamship Northumberland : passage to Australia in 52 days : brief sketches of life on board a steam vessel"".",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17516986,Diary written by Charles Care of his voyage from London to Melbourne on RMS Orient.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17516986,Diary written by Charles Care of his voyage from London to Melbourne on RMS Orient.,3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17516987,"Diary of David Yuile, on the SS City of Dunedin and SS Albion, Scotland to Victoria, via New Zealand.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17516987,"Diary of David Yuile, on the SS City of Dunedin and SS Albion, Scotland to Victoria, via New Zealand.",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17516988,"Diary of M. P. O'Shea from the clipper ship Eastern City, Liverpool to Melbourne.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17516988,"Diary of M. P. O'Shea from the clipper ship Eastern City, Liverpool to Melbourne.",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17516989,"Letter, from Thomasina Tye, England to Arthur Tye, Melbourne.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17516989,"Letter, from Thomasina Tye, England to Arthur Tye, Melbourne.",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17516990,Caroline Chisholm scrapbook.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17516990,Caroline Chisholm scrapbook.,3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17516991,Emigration : its necessity and advantages.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17516991,Emigration : its necessity and advantages.,3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17516992,The comic almanack and diary.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17516992,The comic almanack and diary.,3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17516993,"A short guide for intending emigrants to Victoria, the garden state of Australia.",3,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,4,2,1,1,0,0,0,0,daniel
17516993,"A short guide for intending emigrants to Victoria, the garden state of Australia.",4,Title from publisher's website.,a,4,2,1,1,0,0,0,0,daniel
17516994,Victoria : the irrigated areas : information for prospective settlers.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,2,1,0,1,0,0,0,0,daniel
17516995,Victoria for the settler : the irrigated areas.,2,Cover title.,a,3,2,0,1,0,0,0,0,daniel
17516995,Victoria for the settler : the irrigated areas.,3,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17516996,Off to school in the Australian bush : Postcard.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,4,2,0,2,0,0,0,0,daniel
17516996,Off to school in the Australian bush : Postcard.,4,Title from publisher's website.,a,4,2,0,2,0,0,0,0,daniel
17516997,Stripping an average Australian wheat crop : Postcard.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,4,2,0,2,0,0,0,0,daniel
17516997,Stripping an average Australian wheat crop : Postcard.,4,Title from publisher's website.,a,4,2,0,2,0,0,0,0,daniel
17516998,Harvest-time in Australia : Postcard.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,4,2,0,2,0,0,0,0,daniel
17516998,Harvest-time in Australia : Postcard.,4,Title from publisher's website.,a,4,2,0,2,0,0,0,0,daniel
17516999,Breaking land for an orchard : Postcard.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,4,2,0,2,0,0,0,0,daniel
17516999,Breaking land for an orchard : Postcard.,4,Title from publisher's website.,a,4,2,0,2,0,0,0,0,daniel
17517000,Timber tramway in a beautiful setting : Postcard.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,4,2,0,2,0,0,0,0,daniel
17517000,Timber tramway in a beautiful setting : Postcard.,4,Title from publisher's website.,a,4,2,0,2,0,0,0,0,daniel
17517001,Mustering on a sheep station : Postcard.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,4,2,0,2,0,0,0,0,daniel
17517001,Mustering on a sheep station : Postcard.,4,Title from publisher's website.,a,4,2,0,2,0,0,0,0,daniel
17517002,A teamster's camp in Australia carting wheat to a railway station : Postcard.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,4,2,0,2,0,0,0,0,daniel
17517002,A teamster's camp in Australia carting wheat to a railway station : Postcard.,4,Title from publisher's website.,a,4,2,0,2,0,0,0,0,daniel
17517003,Dairy farming in Australia.,3,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,4,2,0,2,0,0,0,0,daniel
17517003,Dairy farming in Australia.,4,Title from publisher's website.,a,4,2,0,2,0,0,0,0,daniel
17517004,Wheat and sheep farming in Australia : Postcard.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17517004,Wheat and sheep farming in Australia : Postcard.,3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17517005,Australia as I found it : being the actual experience of an English girl as told by herself.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17517005,Australia as I found it : being the actual experience of an English girl as told by herself.,3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17517006,The peril of Melbourne.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17517006,The peril of Melbourne.,3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17517007,"Passenger contract ticket : Carpentaria, Liverpool to Melbourne.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17517007,"Passenger contract ticket : Carpentaria, Liverpool to Melbourne.",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17517008,"Passenger contract ticket : Netherby, Black Ball Line, steerage, London to Melbourne. [1].",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17517008,"Passenger contract ticket : Netherby, Black Ball Line, steerage, London to Melbourne. [1].",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17517009,"Passenger contract ticket : Netherby, Black Ball Line, steerage, London to Melbourne. [2].",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17517009,"Passenger contract ticket : Netherby, Black Ball Line, steerage, London to Melbourne. [2].",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17517010,"Passenger contract ticket : steerage passage on the Orient Line ship SS Liguria, London to Melbourne.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17517010,"Passenger contract ticket : steerage passage on the Orient Line ship SS Liguria, London to Melbourne.",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17517011,"Passenger contract ticket : TSS Marathon, issued to E & J Brookfield, London to Melbourne.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17517011,"Passenger contract ticket : TSS Marathon, issued to E & J Brookfield, London to Melbourne.",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17517012,"Passenger contract ticket : SS Benalla, issued to Hugh Clement & Walter Biddleston, London to Sydney.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17517012,"Passenger contract ticket : SS Benalla, issued to Hugh Clement & Walter Biddleston, London to Sydney.",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17517013,"Passport for Setsutaro Hasegawa, Japanese migrant.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17517013,"Passport for Setsutaro Hasegawa, Japanese migrant.",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17517014,Italian photography company leaflet [fragment].,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17517014,Italian photography company leaflet [fragment].,3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17517015,"Au crépuscule postcard : Lili Vrahamis to Letho Sigalas, Greece.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17517015,"Au crépuscule postcard : Lili Vrahamis to Letho Sigalas, Greece.",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17517016,"Au crépuscule postcard : Letho Sigalas to Lili Vrahamis, Cairo.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17517016,"Au crépuscule postcard : Letho Sigalas to Lili Vrahamis, Cairo.",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17517017,"Chourmouze high school certificate, Lili Vrahamis, Athens.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17517017,"Chourmouze high school certificate, Lili Vrahamis, Athens.",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17517018,"Passport for Stanio Fancoff, Bulgaria.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17517018,"Passport for Stanio Fancoff, Bulgaria.",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17517019,"Health certificate for Stanio Fancoff, Orient Line, Naples.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,3,2,0,1,0,0,0,0,daniel
17517019,"Health certificate for Stanio Fancoff, Orient Line, Naples.",3,Title from publisher's website.,a,3,2,0,1,0,0,0,0,daniel
17517020,Anchor Line (Henderson Brothers) Limited scrapbook.,1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
17517021,"Scrapbook of newspaper extracts on European ports : Antwerp, Rotterdam, Amsterdam, Hamburg.",1,Title from publisher's website.,a,1,1,0,0,0,0,0,0,daniel
