bib,title,note_num,note
3101026,"Overland journey : from Ash Hollow, Nebraska to Sierra County, California / by Noah D. Comstock, [1853-1854].",1,Original binding.
3101137,"Overland journey : from Kansas to California / by Thomas J. B. Cramer, 1859.",1,Original boards.
3101241,"Cummings diary /by Charles J. Cummings, 1859.",1,Original binding.
3101241,"Cummings diary /by Charles J. Cummings, 1859.",2,"On the flyleaf, in a different hand dated April 26, 1859, is written: ""This chronicle records the first trip in 6 years (since 1853) over the Applegate cut-off, or 'Death route.'"""
3101322,"Cattle drive : from Texas to California, and in California and Oregon / by Richard Dallam, 1852-1864.",1,Bound by Dallam in undressed sheepskin.
3101650,"Journal of life in Vermont : travels in the midwest and   Illinois, and a trip across the Plains and life in Oregon / by Samuel Dexter Francis, 1841-1862.",1,"Notarized attestation of the author's daughter, Dora Francis Frazer, April 1936, is bound with the manuscript."
3101831,Voyage from New York to Oregon Territory : of Governor John P. Gaines and his family and notes on their life there / by Archibald Kinkead Gaines.,1,Original binding.
3101885,"Journal of the route of the Charlestown Va. Ming. Co. : from St. Josephs, Mo. to California / by Vincent Eply Geiger and Wakeman Bryarly, 1849.",1,Original binding.
3102154,"Overland journey on horseback from Walla Walla, Washington       Territory, to San Francisco /by William H. Gorrill, 1869.",1,Original binding.
3102498,"Overland journey of the Knickerbocker Exploring Company of the City of New York : from Fort Smith to California / by William R. Goulding, 1849-1865.",1,"Accompanied by a printed broadside of the Knickerbocker Exploring Company's Constitution and list of members, and two clippings from the Fort Smith Hearald."
3102522,"Granville Company Diary, /by the Granville Company, 1849.",1,Original binding.
3102646,"Journal. Jos. P. Hamelin jr. of Lexington, Missouri / by Joseph   P. Hamelin, Jr., 1849-1857.",1,Original boards.
3102704,The narrative of Samuel Hancock: being a description of his overland journey to Oregon in 1845: typed manuscript.,1,"Note by C. B. Bagley states ""This is one [of] two copies--all that have been made, as I believe."""
3102863,"Journal of Francis A. Hardy / by Francis A. Hardy, 1850.",1,Original bindings.
3102919,"Overland journey : from Wisconsin to Oregon Territory / by Charles W. Hayden, 1852-1853.",1,Original binding.
3104912,"Overland journey : of the Rev. Neill Johnson and his family from Mt. Pleasant, Iowa to Oregon / by John Lawrence Johnson, [1851].",1,Original binding.
3104967,"William Kahler's diary / by William Kahler, 1852.",1,Original binding.
3104993,"Overland letters, 1852.",1,Letters and typed transcript stored in 2 folders.
3105077,"Overland journey : from Independence, Missouri to Weaverville, California / by Abram Krill, 1850-1851.",1,Accompanied by a daguerreotype of Krill & Bamber's grocery and provision store near Hangtown.
3105077,"Overland journey : from Independence, Missouri to Weaverville, California / by Abram Krill, 1850-1851.",2,Original binding.
3105077,"Overland journey : from Independence, Missouri to Weaverville, California / by Abram Krill, 1850-1851.",3,Two diaries and daguerreotype stored in a case.
3105112,"Moses F. Laird's book. A journal of a few items of my life: different situations; travels, etc. /by Moses F. Laird, 1852-1855.",1,Journal and typed transcript stored in a case.
3105253,"Overland journey : from St. Joseph to California / by John F. Lewis, 1849-1854.",1,"Journal, typed transcript, and carbon typed transcript stored in 2 boxes."
3105379,"Overland journey : from Leesburg, Pennsylvania, to the California mines / by Alexander Love, 1849-1852.",1,The diary is composed of four notebooks and various sizes of letter paper sewed together in a homemade calf binding.
3105379,"Overland journey : from Leesburg, Pennsylvania, to the California mines / by Alexander Love, 1849-1852.",2,Diary and typed transcript stored in a case.
3105392,"Von St. Paul, Minn. nach Portland, Oregon / by Henry Lueg, 1867-1868.",1,Original binding.
3105392,"Von St. Paul, Minn. nach Portland, Oregon / by Henry Lueg, 1867-1868.",2,Journal and typed translation stored in a case.
3106031,"Journal and correspondence, 1849-1876.",1,Original binding.
3106272,"Overland journey from Darien, Walworth County, Wisconsin, to Hangtown, California / by Silas Newcomb, 1850-1895.",1,"Accompanied by a printed broadside of the resolutions of the Beloit Company with Newcomb's name and those of other members of Capt. Clark's mess added. This was reproduced by D. C. McMurtrie in ""Two Early Issues of the Council Bluffs Press,"" Annuals of Iowa. 3d ser. 18(1931):82-86."
3106272,"Overland journey from Darien, Walworth County, Wisconsin, to Hangtown, California / by Silas Newcomb, 1850-1895.",2,Original binding.
3106374,"Memoranda of O. N. Newman / by Orson N. Newman, 1869.",1,Original binding.
3106408,"Overland journey : from Lake Maria, Marquette County, Wisconsin, to California, and life in the mines / by Andrew M. Orvis, 1849-1858.",1,Accompanied by a 1850 letter by Orvis to his wife Caroline from Sacramento.
3106408,"Overland journey : from Lake Maria, Marquette County, Wisconsin, to California, and life in the mines / by Andrew M. Orvis, 1849-1858.",2,Original binding.
3106583,"Incidents of traveling from Coldwater to Pike's Peak /by George L. Pope, 1859.",1,"Accompanied by a photostat of a page from the Nebraska News, Nebraska City, March 12, 1859, which contains an account of the arrival at that town of Pope's Michigan company."
3106583,"Incidents of traveling from Coldwater to Pike's Peak /by George L. Pope, 1859.",2,Original binding.
3106588,"The overland route : leaves from the journal of a California emigrant / by Mary L. Rockwood Powers, 1859.",1,"Manuscript copy signed at end: ""Written by A. Field Richmond, 1859."""
3106595,"Overland journey from Fort Leavenworth to Los Angeles /by Orville C. Pratt, 1848-1849.",1,Original binding.
3106807,"Overland journey : from Morristown, Henry County, Illinois, to California / by M. C. Purviance, 1863.",1,Original binding.
3106835,"William Renfro Rothwell papers, 1850.",1,"Rothwell's trip home from California is documented in his journal. See Memoranda of Home Voyage from the California Gold Mines to the State of Missouri, Beinecke Rare Book and Manuscript Library, WA MSS S-1432"
3107009,"Private journal of L. M. Schaeffer-- who does not write out in   extenso as he would wish for he fears he might fill his book before his journey is accomplished, and because he cannot write as correctly and intelligibly as   he would on land / by Luther Melanchthon Schaeffer, 1849-1852.",1,"Accompanied by L. M. Schaeffer, Sketches of Travels in South America, Mexico and California. New York: James Egbert, printer, 1860."
3107097,"Journal of a voyage &c. on board Barque Susan from New York to San Francisco : around (about as bad as going around the world) Cape Horn via Rio de Janeiro and (one of the greater ports on the Pacific) Talcahuano, or Conception / by William Valentine Seaman, 1849.",1,Original binding.
3107277,"R. H. P. Snodgrass's journal of the trip : from Piqua, Ohio, to Sacramento across the Plains in 1852 with an appendix containing prices current and news of various subjects / by R. H. P. Snodgrass, 1852-1854.",1,Original binding.
3107301,"Voyage to California and return by Panama / by Levi B. Stuart, 1849-1851.",1,Original binding.
3107609,"Letters : to his wife / by Joseph Summers, 1850 Oct. 30.",1,"The letters are written in a notebook with glazed paper covers: Miners' and Travellers' Pocket Letter Book. Designed Expressly for the Convenience of Miners and Travellers to the Mines. By Jos. W. Gregory. New York, San Francisco, 1850."
3107609,"Letters : to his wife / by Joseph Summers, 1850 Oct. 30.",2,Letters and transcript stored in a case.
3107942,"W. P. Thompson : diary, 1850-1852.",1,Original binding.
3107942,"W. P. Thompson : diary, 1850-1852.",2,Diary and transcript are stored in one case.
3108906,"Overland journey : from Mount Pleasant, Iowa to California, experiences at the mines, and the voyage home by the Isthmus / by P. C. Tiffany, 1849-1851.",1,Original binding.
3108906,"Overland journey : from Mount Pleasant, Iowa to California, experiences at the mines, and the voyage home by the Isthmus / by P. C. Tiffany, 1849-1851.",2,3 volumes and transcript are stored in 1 case.
3108918,"Overland journey to California in 1849 : experiences at the mines 1849-1850, and return voyage to New York in 1850 / by L. N. Weed, 1859.",1,The narrative written in 1857 from journal entries but transferred into the present volume in 1859.
3108918,"Overland journey to California in 1849 : experiences at the mines 1849-1850, and return voyage to New York in 1850 / by L. N. Weed, 1859.",2,Original binding.
3108918,"Overland journey to California in 1849 : experiences at the mines 1849-1850, and return voyage to New York in 1850 / by L. N. Weed, 1859.",3,"Accompanied by Kim Kastens, ""Route of J. N. Weed--1849,"" May 1973, which includes a large map showing the route."
3108918,"Overland journey to California in 1849 : experiences at the mines 1849-1850, and return voyage to New York in 1850 / by L. N. Weed, 1859.",4,"Journal, transcript, and Kastens paper in 2 boxes; map in rolled storage."
3109149,"Overland journey : from Rochester, Wisconsin, to Georgetown, California, and a brief stay in the mines / by Abial Whitman, 1850.",1,Original bindings.
3109166,"Diary of Edward J. Willis. Giving account of travel from Independence Missouri to California in 1849, Across the Plains, /by Edward   J. Willis, 1849.",1,Original binding.
3109166,"Diary of Edward J. Willis. Giving account of travel from Independence Missouri to California in 1849, Across the Plains, /by Edward   J. Willis, 1849.",2,Diary and transcript in case.
3109343,"California letters, 1853-1882.",1,Accompanied by typed calendar.
3116023,"Overland journey : to Oregon and a return trip, 1845-1847.",1,The diary is in pencil and is partly illegible.
3117274,"Overland journey : from Illinois to California / by William T. Stackpole, 1849-1850.",1,Accompanied by a typed calendar.
3117860,"Overland journey from Ohio to California / by Edwin Hillyer, [1849].",1,"Accompanied by copy of the journal, made by Hillyer's father, Daniel Hillyer, dated 1850 Jan 8."
3117860,"Overland journey from Ohio to California / by Edwin Hillyer, [1849].",2,"The State Historical Society of Wisconsin owns another version of the diary which was published in Wisconsin Magazine of History. 49, no. 3 (Spring 1966)."
3117990,"Overland journey : from Massachusetts to California / by Philip W. Adams, [1883-1884].",1,"Accompanied by a 40 page, more extensive account."
3118703,"Fur trading voyage : from China to the Northwest Coast of America, 1799 / by Richard Jeffry Cleveland.",1,"Another account of Cleveland's voyage which closely follows this version was published by Cleveland's son from his father's original journal: Cleveland, H. W. S. Voyages of a Merchant Navigator. New York, 1886."
3120692,"Journal of a voyage from Boston to the North-West Coast of America /by Samuel Furgerson, 1809-1811.",1,Original binding.
3120856,"The narrative of a voyage : to the North West Coast of America and China on trade and discoveries, 1922.",1,The original manuscript is in the Massachusetts Historical Society library. This copy was made in 1922 from a transcript in the University of Washington Library.
3121328,Voyage of the brigantine Hope from Boston to the northwest coast of America /by Joseph Ingraham.,1,The original manuscript journal is in the Library of Congress.
3121328,Voyage of the brigantine Hope from Boston to the northwest coast of America /by Joseph Ingraham.,2,Photostat and typescript stored in 2 boxes.
3121801,"Whaling expedition : from New Bedford to China / by James F. Munger, 1850-1852.",1,Original binding.
3121801,"Whaling expedition : from New Bedford to China / by James F. Munger, 1850-1852.",2,"Accompanied by a published version: Two Years in the Pacific and Arctic Oceans and China. Vernon: J. R. Howlett, 1852."
3121801,"Whaling expedition : from New Bedford to China / by James F. Munger, 1850-1852.",3,Manuscript and published version stored in a case.
3121932,A vocabulary of the language of the natives of the North west coast of America and other titles.,1,Manuscript and typescript stored in a case.
3121956,"Voyage from Boston : to the north west coast of America, 1800-1820 / by Ralph Haskins.",1,Accompanied by printed biography of Ralph Haskins.
3123655,"History of Tualatin Plains /by J. S. Griffin, 1842-1851.",1,Original boards.
3124199,"Yakima War diary, 1855-1856.",1,Original binding.
3132365,"Accounts, 1845-1874.",1,Original bindings.
3132365,"Accounts, 1845-1874.",2,"Accompanied by a four page introduction by Winlock W. Miller, Jr., August 4, 1926."
3133835,"Journal of a voyage : from Gravesend to Hudson's-Bay North America and Inland journey to the Red-River Colony / by George Harbridge, 1820-1826.",1,There are two woodcuts mounted in the journal.
3133933,"Memoirs of life and adventure in the Hudson's Bay Company territories, [ca. 1860]",1,Original binding.
3134401,"Voyage of H.M.S. Discovery and Chatham : to the northwest coast of America, 1791-1827.",1,"Accompanied by two letters by Thomas Manby, 1821, 1827."
3134633,"Expedition to build a Hudson's Bay Company post on the Yukon, 1848 / by Alexander Hunter Murray.",1,"Accompanied by the printed version: Burpee, L. J. ed. Journal of the Yukon, 1847-48. Ottawa: Government Printing Bureau, 1910."
3134633,"Expedition to build a Hudson's Bay Company post on the Yukon, 1848 / by Alexander Hunter Murray.",2,Journal-letter and printed version stored in a case.
3134833,"Journal of a Voyage of Discovery in the Pacific and Beering's Straits : on board H.M.S. Blossom / by James Wolfe, 1825-1828.",1,Original binding.
3135477,"Article written by Samuel J. Parker, M.D. : , son of Rev. Samuel Parker, the original projector of the missions of the American Board of Commissioners for Foreign Missions to Oregon / /by Samuel J. Parker, 1878-1879.",1,"The manuscript was sent to Elwood Evans, September 17, 1882."
3135738,"Selections from the Scriptures translated into the Nez Percé language /by Henry Harmon Spalding, 1839-1846.",1,Original bindings.
3135738,"Selections from the Scriptures translated into the Nez Percé language /by Henry Harmon Spalding, 1839-1846.",2,An 1874 hospital tax receipt has been placed in the second volume.
3136134,"Alvan F. Waller's property /by Alvan F. Waller, 1833-1854.",1,Volume stored in box; typed transcript stored in portfolio.
3136272,"Narcisca Prentiss Whitman's Diary / by Narcissa Prentiss Whitman, 1836.",1,The original diary is in the Whitman College Library.
3136393,"Letter press copy book, 1860-1869.",1,Original binding.
3137266,"Day Book, Nauvoo, Ill. / by William Law, 1841-1842.",1,Original binding.
3137324,"Record of Orders, Returns, & Courts Martial &.c. of 2nd Brigade, 1st Division, Nauvoo Legion, Headquarters, 14th Ward G.S.L. City, 1857-1858.",1,Original binding.
3137755,"J. M. Sharpe. Private journal /by James M. Sharpe, 1843-1848.",1,Original binding.
3140358,"Letterbook, 1846-1847.",1,Original binding.
3140900,"Letter : to John Fitch Kinney / by Brigham Young, 1863 Nov 2.",1,Original (in folder 1) restricted; use preservation photocopy (in folder 2).
3141365,"Ordinances, 1841-1843.",1,City seal embossed in lower left corner.
3141370,"Letter : to presidents Charles C. Rich and David Fulmer / by Brigham Young, 1847 Jan 25.",1,Original (in folder 1) restricted; use preservation photocopy (in folder 2).
3142013,"Letter : to Colonel Kane / by Brigham Young, 1858 Oct 22.",1,Original (in folder 1) restricted; use preservation photocopy (in folder 2).
3143048,"Letter : to Brigadier General F. D. Richards / by Brigham Young, 1857 Nov 6.",1,Original (in folder 1) restricted; use preservation photocopy (in folder 2).
3143130,"Copy of the proclamation to the inhabitants of California, / by John Drake Sloat, 1846 Jul 7.",1,Accompanied by positive photostat copy from the Huntington Library.
3143162,"Record of death & discharges Company ""C"" Ten[n.] Regt...Vol. / by William P. Chambliss, 1847-1848.",1,An envelope at the back of the book contains two letters which give personal information about William P. Chambliss.
3144042,"Diary, 1850-1861.",1,Accompanied by a typewritten summary of the diary.
3144125,"Mexican War diary, 1846-1847.",1,"The diary was found on the Churubusco Battlefield by Thomas J. Davis on September 21, 1847."
3144569,Civil War memoirs.,1,Original binding.
3144646,"Journal, 1846-1847.",1,There are 32 loose pages laid in front of the journal.
3147504,Narrative,1,"Accompanied by two typescript copies transcribed and edited by Joan Hofmann, 1974."
3147629,"Letter : to Major G. W. Baird / by Nelson Appleton Miles, 1891 Nov. 20.",1,An extract (copy) from the War Department files on the evidence and investigation of the Wounded Knee Creek affair accompanies this letter.
3150751,"Letter: to his wife, Margaret, /by William H. McFarlin, 1852 Jan 1.",1,Written in Gregory's Express Letterbook with a printed description of the services of Gregory's Express Company.
3152609,"Journal of a cruise in U.S. Ship Vincennes. Charles Wilkes Esqre. Commander / by James L. Blair, 1841-1842.",1,Original binding.
3152986,"Diary of R. R. [Red River] Survey / by A. R. Booth, 1871-1873.",1,Related map shelved in map collection under no. Double Covers/795/+R249/1871.
3153007,"Journal kept by Assistant Surgeon Silas Holmes during a cruise in the U.S. Ship Peacock and Brigs Porpoise and Oregon / by Silas Holmes, 1838-1842.",1,Original bindings.
3153403,"Journal of a trip to the Yellowstone Park, 1875.",1,"The official report of the Ludlow expedition was published as: United States War Dept. Report of a Reconnaissance from Carroll...Made in the Summer of 1875, by William Ludlow. Washington, D.C.: Government Printing Office, 1876."
3153464,"Letter : to George F. Andrews / by Joseph Crawford King, 1849 Aug 31.",1,Docketed.
3153512,"Letter: to the San Francisco Town Council /by James Allen Hardie, 1847 Nov 10.",1,Docketed.
3153523,"Letter : to William Allen / by F. M. King, 1849 Feb 1.",1,Docketed.
3153544,"Agreement, 1850 Mar 2.",1,Docketed.
3153599,"Letter: to the Reverend H. Winslow /by J. H. Post, 1853 Jan 5.",1,Docketed.
3153893,O-kee-pa /by George Catlin.,1,"Accompanied by proof sheets of ""Folium Reservatum"" with Catlin's manuscript corrections, copies of revised page proofs with manuscript corrections, and the published London edition."
3153893,O-kee-pa /by George Catlin.,2,Original boards.
3154152,"Letter: to His Excellency, George N. Briggs, Governor of Massachusetts /by a Committe in behalf of the Church, 1845 Apr 25.",1,Bound volume comprises a typewritten transcript.
3154475,"Army episodes and anecdotes; or Life at Vancouver Barracks. The romance and the reality of the frontier /by Thomas McArthur Anderson, 1853-1893.",1,"Chapter 11 which is included in the list of chapters but is not in the manuscript, was probably used by Anderson for his article ""The Vancouver Reservation Case. A Legal Romance,"" Oregon Historical Quarterly. VIII (1907): 219-230."
3154774,"Yellowstone expedition journal and related papers, 1818-1949.",1,Original binding.
3154774,"Yellowstone expedition journal and related papers, 1818-1949.",2,"Previously attributed to Lieutenant Thomas W. Kavanaugh, and Colonel Henry Atkinson."
3154774,"Yellowstone expedition journal and related papers, 1818-1949.",3,"Later holograph note on inside cover reads, ""Kept in the main by Lieut Thomas Kavanaugh of the Forsyth."""
3154968,"Memorandum of an agreement, 1849 Jan 27.",1,Probably printed in New York.
3155087,"Letter: to Mr. Abram Johns /by Aleksandr Andreevich Baranov, 1816 Oct 16.",1,Translation in a contemporary hand.
3155474,"Agreement, 1849 Jan. 27.",1,A broadside describing Gordon's California Association's equipment and terms was printed in 1849 and a copy was owned by Thomas W. Streeter.
3155611,"Letter: to  Mr. John Wilson /by Alexander J. Pullman for Daniel Blue, 1859 May 12.",1,Accompanied by 6 pages of a corrected page proof from the second printing of Blue's Narrative.
3155656,"Fisk Expedition journal /by Samuel R. Bond, 1862.",1,"The official account published by the government: Expedition from Fort Abercrombie to Fort Benton. 37th Cong., 3d sess. House Ex. Doc. 80."
3157064,"History of Indian operations on the Plains, 1866 /by Henry Beebee Carrington.",1,"Accompanied by sections of Margaret I. Carrington's Ab-sa-ra-ka or Wyoming Opened, 6th ed., Philadelphia, 1890, and a map of the scene of the Fetterman massacre."
3157172,"Fort Bridger account book, 1865-1869.",1,Original binding.
3157291,"Missouri Light Artillery letter book, 1834-1847.",1,Original binding.
3157856,"Black Hills narratives, 1874.",1,Original manuscript stored in two folders; typed transcript bound in 1 volume.
3158000,"Sketches and surveys made during the exploratory tour of 1857 to Nebraska and Dakota under Lt. G. K. Warren /by Paul Max Engle, 1857.",1,Original binding.
3158000,"Sketches and surveys made during the exploratory tour of 1857 to Nebraska and Dakota under Lt. G. K. Warren /by Paul Max Engle, 1857.",2,"Accompanied by Gouverneur Kemble Warren's ""Preliminary Report of Explorations in Nebraska and Dakota in the Years 1855-'56-'57...,"" Annual Report of Captain A. A. Humphreys, Topographical Engineers, in Charge of Office of Explorations and Surveys, War Department, Washington, 1859, p. 43-173."
3158181,"Field diary of 1st Lt. Wm. L. English, 7th Infantry 1876 campaign /by William L. English, 1876.",1,Original binding.
3158181,"Field diary of 1st Lt. Wm. L. English, 7th Infantry 1876 campaign /by William L. English, 1876.",2,"English's diary for March through June parallels the journal of Lt. James H. Bradley, which is much more detailed, and Capt. Freeman's journal (WA MSS 204)."
3158181,"Field diary of 1st Lt. Wm. L. English, 7th Infantry 1876 campaign /by William L. English, 1876.",3,"The transcript contains; a folded map, ""Gold Regions of the Black Hills.."" New York, Russell & Struthers; a portrait of Custer; and an 1876 clipping from Harper's Weekly on the slaughter."
3158803,"Journal, 1878.",1,Original binding.
3159026,"Indian religions notes, 1890 Jul 11.",1,"Similar to a manuscript sent to Evans with a letter, 1890 May 19 (see WA MSS 173)."
3159173,"Account Book of the Post Trader at Forts Gibson and Smith, 1823-1825",1,Original binding.
3159216,"Sioux campaign journal, 1876.",1,Original binding.
3159216,"Sioux campaign journal, 1876.",2,Corroborates the account of Lt. William L. English (WA MSS 171).
3159307,"Letter : to Henry Cummins / by William P. Gardner, 1862 Apr 2.",1,"Accompanied by a copy of the Salmon River Guide, San Francisco, April 1862."
3159564,"Letter: to Mr. Banks /by Jonathan Carver, 1778 Aug 13.",1,The letter is tipped into a copy of Jonathan Carver's Travels through the Interior Parts of North America (see Zc20 778cad).
3159643,"Cascades Massacre list, 1856 Mar 26.",1,For a similar list see WA MSS 94.
3159706,"Letter: to Mr. W. Stone /by John Clay, 1874 Oct 21.",1,The letter is tipped into John Clay's New World Notes (Zc20 875cl).
3159809,"Letter: to Putnam Bradford /by Lawrence W. Coe, 1856 Apr 6.",1,For a similar list see WA MSS 66.
3160393,"The Heirs of George W. Harris and Mary A. Harris, Indian Depredation Claimants vs. the Rogue River Indians...Petition and Argument /by Benjamin Franklin Dowell, [1888]",1,"Shelved as a printed work (Zc74 888do copy 2). Another copy, without manuscript annotations (c74 888do copy 1)."
3160475,"Letter : to John Davies, 1824 Oct 4.",1,Bound with typewritten transcript.
3161246,"Letter : to his cousin, 1859 May 20.",1,"On verso of second sheet: ""Map of the Gold Region, with routes thereto;"" ""Table of distances from Omaha to Cherry Creek."" The same map appears in William N. Byers's and John H. Kellom's A Handbook to the Gold fields of Nebraska and Kansas, however, the table of distances differs."
3161653,"Letter: to Viscountess Melville /by Katherine Halkett, 1817.",1,Letter is tipped into Halkett's Statement (Zc91 M32 817hab).
3161869,"Account book, 1863-1873.",1,Original binding.
3162178,"Memoir, 1899.",1,"The text of the memoir is identical to: Charles Andrew Huntington, Incidents in the Life of Rev. C. A. Huntington (WA MSS S-1751)."
3162246,"Journal, 1866-1873.",1,Original binding.
3162344,"Brand record A. Johnson County, 1881-1896.",1,Original binding.
3162390,"Letter : to Howard Egan / by Brigham Young, 1858 Jan 6.",1,Original (in folder 1) restricted; use preservation photocopy (in folder 2).
3162450,"Nauvoo store day book, 1842-1844.",1,"One copy is 106 pages, 40 x 30 cm."
3162472,Memorandum.,1,"Removed from: Jefferys, Thomas. The great probability of a Northwest passage...London 1768 (Zc90.768dr)."
3162478,"Letter : to David Rogers / by Brigham Young, Priest of the Church of Latter-Day Saints, 1844 Dec 5.",1,Expressing approbation of David Roger's course in the recent presidential election and satisfaction over the outcome.
3162992,"Letter: to E. B. Neally /by Secretary of Montana Territory, 1866 Nov 9.",1,See WA MSS S-140.
3163263,"Life of Jim Baker /by Maggie Kilgore, 1917.",1,Manuscript and typed transcript stored in 2 boxes.
3163263,"Life of Jim Baker /by Maggie Kilgore, 1917.",2,Typed transcript accompanied by newspaper clippings from 1917 and 1920 about Jim Baker.
3163629,"Lewis and Clark Expedition maps and receipt, ca. 1803-1810.",1,Accompanied by photocopies and a facsimile.
3163629,"Lewis and Clark Expedition maps and receipt, ca. 1803-1810.",2,"Stored in 2 boxes, 1 framed item, and 2 portfolios."
3163810,"Autograph, 1865 Dec 25.",1,Accompanied by a letter from William P. McCall to Lewis J. Cist.
3164176,"Manti Herald, and Sanpete Advertiser /written, edited and published by F. C. Robinson, 1867 May 4.",1,A complete file is preserved in the Salt Lake City Public Library.
3164556,"Letter book, 1819-1823.",1,Original binding.
3165093,"Private. Journal. Construction of Ft. Kearney, South Pass and Honey Lake Wagon Road /by Henry K. Nichols, 1857.",1,Original binding.
3165093,"Private. Journal. Construction of Ft. Kearney, South Pass and Honey Lake Wagon Road /by Henry K. Nichols, 1857.",2,Laided in the journal is an 1856 letter regarding the purchase of a Potomac furnace.
3165545,Reminiscences and Recollections / by James Irving Patten.,1,Includes typed transcript.
3165590,"Milk River Expedition Papers, 1881.",1,Original binding.
3166712,"Letter: to A. M. Poe /by William Pickering, 1862 Jun 29.",1,"Accompanied by a copy of an answer, but not by A. M. Poe, with annotations by Elwood Evans suggesting Bezaleel F. Kendall was the author."
3168104,Journal 1867-1869.,1,Original binding.
3168152,"Proceedings of a Court of Inquiry in the case of Major Marcus A. Reno, concerning his conduct at the Battle of the Little Big Horn River 1876.",1,"Accompanied by stenographic reports of the testimony, editorials, and miscellaneous articles from 1879, and photostatic copies of articles and editorials from 1879, bound in two volumes."
3168295,"Memoranda of Inspections from Fort Leavenworth, Ks. to Great Salt Lake City U.T. /by James Fowler Rusling, 1866.",1,Original binding.
3168610,"Diary, 1847-1848.",1,Accompanied by a draft of an 1847 lease and an 1846 bill for lumber.
3168777,"Journal of the march of Companies F, G, H, & K,1st Cavalry...on an expedition against the hostile Kiawas and Comanches /by James Ewell Brown, 1860 Apr 3.",1,Original binding.
