bib,title,note_num,note,type
14526285,880-03 Fatʹḥ al-Mubdiʻ fī sharḥ al-Muqniʻ : manuscript / Abū Yaḥyá Zakarīyā ibn Muḥammad al-Anṣārī.,2,Romanization supplied by cataloger.,a
14526285,880-03 Fatʹḥ al-Mubdiʻ fī sharḥ al-Muqniʻ : manuscript / Abū Yaḥyá Zakarīyā ibn Muḥammad al-Anṣārī.,3,"Incipit: ""Bismillāh al-Raḥmān al-Raḥīm. Qāla al-Shaykh al-Imām, al-ʻālim al-ʻallāmah, Zakarīyā al-Anṣārī al-Shāfiʻī, raḥimahu Allāh: Bismillāh al-Raḥmān al-Raḥīm. al-Ḥamdu lillāh alladhī jabara qulūb al-ʻulamāʼ bi-amdād jadhrihi al-matīn, wa-fataḥa la-hum bāb istikhrāj al-majhūl min al-maʻlūm al-razīn, wa-ashhadu an lā ilāha illā Allāh waḥdahu lā sharīka lah, Rabb al-ʻĀlamīn, wa-ashhadu anna Muḥammadan ʻabduhu wa-rasūluh sayyid al-mursalīn, ṣallá Allāh ʻalayhi wa-ʻalá ālihi wa-ṣaḥbihi ajmaʻīn. Wa-baʻd, fa-inna al-Muqniʻ al-manẓūm ʻalá baḥr al-ṭawīl fī ʻilm al-jabr wa-al-muqābalah, lil-Imām al-muḥaqqiq wa-al-ḥabr al-mudaqqiq, Abī al-ʻAbbās Shihāb al-Dīn Aḥmad ibn Muḥammad ibn ʻAlī al-shahīr bi-Ibn al-Hāʼim al-Shāfiʻī, ṭayyaba Allāh tharāh wa-jaʻala al-jannah maʼwāh, lammā kāna min abdaʻ kitāb fī al-jabr nuẓim, wa-ajmaʻ mawḍūʻ fīhi ʻalá miqdār ḥajmihi ruqim, ṭalaba minnī baʻḍ al-aʻizzah ʻalayy min al-fuḍalāʼ al-mutaraddidīn ilayy an aḍaʻa ʻalayhi sharḥan yaḥullu alfāẓah, wa-yubayyinu murādah, wa-yuqayyidu muṭlaqah, wa-yaftaḥu mughlaqah, fa-ajabtuhu ilá dhālik bi-ʻawn al-Qādir al-Mālik, ʻalá wajh laṭīf wa-manhaj munīf, wa-sammaytuhu bi-Fatʹḥ al-Mubdiʻ fī sharḥ al-Muqniʻ ...""",w
14526285,880-03 Fatʹḥ al-Mubdiʻ fī sharḥ al-Muqniʻ : manuscript / Abū Yaḥyá Zakarīyā ibn Muḥammad al-Anṣārī.,4,Secundo folio: qawluhu ʻalá al-Nabī al-Muṣṭafá.,w
14526285,880-03 Fatʹḥ al-Mubdiʻ fī sharḥ al-Muqniʻ : manuscript / Abū Yaḥyá Zakarīyā ibn Muḥammad al-Anṣārī.,5,16.5 x 22.5 cm; written surface: 10.5 x 16 cm; 25 lines per page.,o
14526285,880-03 Fatʹḥ al-Mubdiʻ fī sharḥ al-Muqniʻ : manuscript / Abū Yaḥyá Zakarīyā ibn Muḥammad al-Anṣārī.,6,Binding: Unbound (in two quires).,o
14526285,880-03 Fatʹḥ al-Mubdiʻ fī sharḥ al-Muqniʻ : manuscript / Abū Yaḥyá Zakarīyā ibn Muḥammad al-Anṣārī.,7,"In fair naskh script, in black ink, on white paper; the phrases of ""al-Muqniʻ fī ʻilm al-jabr wa-al-muqābalah"" in red; some notes and corrections on the margins; catchwords.",w
14526285,880-03 Fatʹḥ al-Mubdiʻ fī sharḥ al-Muqniʻ : manuscript / Abū Yaḥyá Zakarīyā ibn Muḥammad al-Anṣārī.,8,"On folio 1a: ""al-Muqniʻ fī al-jabr.""",o
14526285,880-03 Fatʹḥ al-Mubdiʻ fī sharḥ al-Muqniʻ : manuscript / Abū Yaḥyá Zakarīyā ibn Muḥammad al-Anṣārī.,9,"The text of ""al-Muqniʻ fī ʻilm al-jabr wa-al-muqābalah"" starts with: ""Bi-ḥamdi Ilāhī abtadī mā uḥāwilu // wa-uhdī ṣalātan maʻ salāmin yushākiluh. ʻAlá al-Muṣṭafá khayr al-anāmi wa-ālihi // wa-aṣḥābihi thumma al-duʻā yatawāṣalu. Li-fakhri al-zamān al-muntamī li-Jilāwatin // ʻAlīyin ʻalayhi suḥbu jūdin hawāṭilu ..."" And it ends with: ""... Wa-abyātuhā tisʻun wa-khamsūna unshiʼat // bi-al-Aqṣá wa-shahri al-yumni fa-hiya tuṭāwilu. Rabīʻun min al-ʻāmi alladhī ḍabṭu ʻaddihi // bi-Dālin wa-Ḍādin fa-al-thanā mutakāmilu."" ""al-Sharḥ: Ay bi-ʻām arbaʻah wa-thamānimiʼah, idh al-Dāl fī al-ḥisā̕b al-madhkūr [ḥisāb al-jummal], bi-arbaʻah, wa-al-Ḍād bi-thamānimiʼah ...""",w
14526285,880-03 Fatʹḥ al-Mubdiʻ fī sharḥ al-Muqniʻ : manuscript / Abū Yaḥyá Zakarīyā ibn Muḥammad al-Anṣārī.,10,"Colophon: ""Tamma al-sharḥ al-mubārak ʻalá yad al-faqīr Aḥmad al-Sujāʻī al-Shāfiʻī, li-muntaṣaf Dhī al-Qaʻdah min shuhūr sanat alf wa-miʼah wa-sittah wa-sabʻīn, sanat 1176. Wa-ṣallá Allāh ʻalá Sayyidinā wa-Mawlānā Muḥammad, wa-ʻalá ālihi wa-ṣaḥbihi wa-sallam. Tamm.""",ow
14526285,880-03 Fatʹḥ al-Mubdiʻ fī sharḥ al-Muqniʻ : manuscript / Abū Yaḥyá Zakarīyā ibn Muḥammad al-Anṣārī.,11,"Translation of the colophon: ""The blessed commentary was completed by the hand of the poor Aḥmad al-Sujāʻī al-Shāfiʻī in the middle of Dhū al-Qaʻdah, 1176 [of the Hijrah = 28 May, 1763]. May God pray on our Master and Lord Muḥammad and on his family and companions and grant them peace.""",ow
14526291,880-02 Sharḥ al-ʻArūḍ al-Andalusī : manuscript / ʻAbd al-Muḥsin al-Qayṣarī.,1,Title from folio 1a.,a
14526291,880-02 Sharḥ al-ʻArūḍ al-Andalusī : manuscript / ʻAbd al-Muḥsin al-Qayṣarī.,2,Romanization supplied by cataloger.,a
14526291,880-02 Sharḥ al-ʻArūḍ al-Andalusī : manuscript / ʻAbd al-Muḥsin al-Qayṣarī.,3,"Incipit: ""Bismillāh al-Raḥmān al-Raḥīm. Aḥmadu Allāh ʻalá an qaṣara salāmat al-ṭabʻ ʻalá nawʻ al-insān, wa-aḍmara fī ṭayy ṣudūrihim ḍurūb al-awdhān [al-awzān], wa-ḥallāhum bi-natāʼij fikr tuzrī ʻalá al-laʼālī al-manthūrah fī aḥshāʼ al-buḥūr, bul tuzrī bi-al-farāʼid al-manẓūmah fī qalāʼid nuḥūr al-ḥūr, ḥamdan dāʼiman ghayr maqṭūʻ, wa-ashkuruhu shukran musbaghan bi-al-uṣūl wa-muzayyalan [wa-mudhayyalan] bi-al-furūʻ, mā wuqifa fī ghāyāt al-āyāt ʻalá al-fawāṣil wa-al-aʻjāz, wa-kushifa bi-kaff al-bayān qināʻ al-rayb ʻan wujūh al-iʻjāz ...""",w
14526291,880-02 Sharḥ al-ʻArūḍ al-Andalusī : manuscript / ʻAbd al-Muḥsin al-Qayṣarī.,4,Secundo folio: ʻinda kaffihi al-maʻarrāt ʻan al-kaff.,w
14526291,880-02 Sharḥ al-ʻArūḍ al-Andalusī : manuscript / ʻAbd al-Muḥsin al-Qayṣarī.,5,15.5 x 20.3 cm; written surface: 9x 16 cm; 19 lines per page.,o
14526291,880-02 Sharḥ al-ʻArūḍ al-Andalusī : manuscript / ʻAbd al-Muḥsin al-Qayṣarī.,6,Binding: In marbled cardboard.,o
14526291,880-02 Sharḥ al-ʻArūḍ al-Andalusī : manuscript / ʻAbd al-Muḥsin al-Qayṣarī.,7,"In good naskh/ruqʻah script, in black ink, on white paper; the phrases of ""al-ʻArūḍ al-Andalusī"" preceded by the the word ""Qāla"" (He said) and the commentary by the word ""Qultu"" (I said), in red; markings in red; many commentaries on the margins; text within red frame surrounded by a larger frame; catchwords.",w
14526291,880-02 Sharḥ al-ʻArūḍ al-Andalusī : manuscript / ʻAbd al-Muḥsin al-Qayṣarī.,8,"On folio 1a: ""Sharḥ al-ʻArūḍ al-Andalusī.""",ow
14526291,880-02 Sharḥ al-ʻArūḍ al-Andalusī : manuscript / ʻAbd al-Muḥsin al-Qayṣarī.,9,"On folios 1b-2a: ""... Wa-baʻd, fa-hādhihi kalimāt ... fī tashrīḥ mushkilāt al-Mukhtaṣar fī ʻilm al-ʻarūḍ al-mansūb ilá al-Imām al-kāmil bi-Abī [Abī] ʻAbd Allāh Muḥammad, al-maʻrūf bi-Abī al-Jaysh al-Anṣārī al-Andalusī ... daʻatnī ilá taʼlīfihā ishārāt ṣadarat min Janāb al-Amīr al-muʻaẓẓam wa-al-Ṣadr al-mufakhkham ... Sulaymān Bīk ibn al-Amīr al-aʻẓam wa-al-Wazīr al-akram ... Amīr Ṭāshiḥūn Bīk ...""",ow
14526291,880-02 Sharḥ al-ʻArūḍ al-Andalusī : manuscript / ʻAbd al-Muḥsin al-Qayṣarī.,10,"Colophon: ""... Wa-hādhā ākhir mā aradnāh min 'Bayān mushkilāt al-Mukhtaṣar fī ʻilm al-ʻarūḍ al-mawsūm bi-Andalusī', ḥāmidan wa-shākran lillāh taʻālá ʻalá ilhām al-taḥqīq wa-inʻām al-tawfīq. al-Ḥamdu lillāh wa-al-shukr la-hu ʻalá al-tamām, wa-lil-Rasūl afḍal al-ṣalāh wa-al-salām. Qad tamma al-kitāb bi-ʻawn al-Malik al-Wahhāb. Subḥāna Rabbika Rabbi al-ʻizzati ʻammā yaṣifūn, wa-salāmun ʻalá al-mursalīn, wa-al-ḥamdu lillāh Rabb al-ʻĀlamīn.""",ow
14526291,880-02 Sharḥ al-ʻArūḍ al-Andalusī : manuscript / ʻAbd al-Muḥsin al-Qayṣarī.,11,"Translation of the colophon: ""... This is the end of what we intended to clarify of the problems of the compendium on the science of prosody, titled 'al-Andalusī'. I praise and thank God Most High for inspiring me and helping me to finish it. Praises and thanks to God for the completion. May the best prayer and peace be upon the Messenger [Prophet Muḥammad]. The book is completed by the help of the Abundant Giving King. Praise be to the Lord, the Lord of Might, far is He from what they falsely attribute to Him. May peace be upon the messengers, and praise be to God Lord of the Universe.""",ow
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,1,Title from folio 1b.,a
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,2,Romanization supplied by cataloger.,a
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,3,"Incipit: ""Bismillāh al-Raḥmān al-Raḥīm, wa-bi-hi nastaʻīn, wa-Huwa ḥasbī wa-niʻma al-wakīl. Qāla al-Shaykh al-Imām al-ʻāmil al-ʻallāmah, al-ʻumdah al-ḥabr al-baḥr al-fahhāmah, jāmiʻ ashtāt al-faḍāʼil, baqīyat al-salaf al-amāthil, Abū ʻAbd Allāh Aḥmad ibn Ḥajar al-Haythamī al-Shāfiʻī al-Makkī, aʻāda Allāh ʻalaynā min barakātihi wa-barakāt ʻulūmihi al-bāhiyah al-bāhirah, wa-afāḍa ʻalaynā wa-ʻalá al-Muslimīn min fayḍ madad buḥūr funūnihi al-zākiyah al-fākhirah, wa-taghammadahu bi-raḥmatih wa-askanahu baḥbūḥat Jannatih. Āmīn. al-Ḥamdu lillāh alladhī ikhtaṣṣa Nabīyanā Muḥammadan, ṣallá Allāh ʻalayhi wa-sallam, bi-Kitābihi alladhī akhrasa al-fuṣaḥāʼ wa-aʻjaza al-bulaghāʼ ʻan al-tafawwuh bi-mithl aqṣar sūrah min suwarih, bal āyah min āyātih, wa-bi-jawāmiʻ al-kalim, wa-badāʼiʻ al-ḥikam, wa-ʻaẓīm al-khulq fī sāʼir aqwālih wa-afʻālih wa-ḥālātih ...""",w
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,4,Secundo folio: wa-ṣifātihi wa-shamāʼilahu lā tustaqṣá.,w
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,5,15.5 x 20.7 cm; written surface: 11 x 16.5 cm; 25-27 lines per page.,o
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,6,Binding: Unbound.,o
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,7,"In fair naskh script, in black ink, on white paper; with the verses of al-Hamzīyah of al-Būṣīrī in red; markings in red; some notes and corrections on the margins; catchwords.",ow
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,8,"On folio 1a: An endowment statement: ""Awqafa hādhā al-kitāb lillāh taʻālá Aḥmad Muḥammad al-Najjārī.""",w
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,9,"On folio 1a: ""Kitāb al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah, taʼlīf al-Shaykh al-Imām, al-ʻālim al-ʻallāmah, ʻumdat al-muḥaqqiqīn, wa-ruḥalat al-muḥaddithīn, wa-ṣadr al-mudarrisīn, Abī ʻAbd Allāh Aḥmad Shihāb al-Dīn al-Haythamī, al-shahīr bi-Ibn Ḥajar al-Haythamī, saqá Allāh qabrahu bi-al-raḥmah wa-al-ruḍwān wa-askanahu fasīḥ al-jinān. Āmīn. Yā Rabb al-ʻĀlamīn. Wa-ṣallá Allāh ʻalá man lā nabī baʻdah, wa-al-ḥamdu lillāh waḥdah.""",w
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,10,"On folio 1a: Biographical information about al-Būṣīrī, and some verses of his poetry, quoted from the commentary of al-Jawjarī (Muḥammad ibn ʻAbd al-Munʻim, 1418-1484) on ""al-Burdah"" (another well-known panegyrical poem by al-Būṣirī priaising the Prophet Muḥammad), stating that al-Būṣīrī died in the year 695 of the Hijrah (1295/1296) at al-Mārastān al-Manṣūrī in Cairo.",w
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,11,"On folio 1b: ""... wa-sammaytuhu 'al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah', thumma balaghanī anna al-nāẓim sammāhā 'Umm al-Qurá', tashbīhan la-hā bi-Makkah, bi-jāmiʻ annahā ḥawat bi-ṭarīq al-taṣrīḥ, aw, al-īmāʼ mā fī akthar al-madāʼiḥ, wa-ḥīnaʼidhin sammaytuhu 'Afḍal al-qirā li-qurrāʼ Umm al-Qurá' ...""",w
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,12,"""al-Hamzīyah"" of al-Būṣīrī starts with: Kayfa tarqá ruqīyaka al-anbiyāʼu // yā samāʼan mā ṭāwalathā samāʼu. It ends with: Mā aqāma al-ṣalāta man ʻabada Allāha wa-qāmat bi-Rabbihā al-ashyāʼu.",w
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,13,"Colophon: ""Wa-wāfaqa al-farāgh min itmām hādhihi al-nuskhah al-mubārakah yawm al-Ithnayn al-mubārak, khāmis ʻashar Rabīʻ al-Awwal, min shuhūr sanat khams wa-sabʻīn wa-alf min al-Hijrah al-Nabawīyah, ʻalá ṣāḥibihā afḍal al-ṣalāh wa-al-salām. Wa-al-ḥamdu lillāh waḥdah. Wa-ṣallá [Allāh] ʻalá man lā nabī baʻdah. Wa-kutiba bi-rasm Sayyidinā wa-Mawlānā al-Shaykh al-ʻālim al-ʻallāmah, muftī al-Muslimīn, mufīd al-ṭālibīn, Mawlānā al-Shaykh Aḥmad ibn Sayyidinā wa-Mawlānā al-Shaykh, al-Imām al-ʻālim al-ʻāmil al-zāhid al-wariʻ, Mawlānā al-Shaykh Ismāʻīl, nafaʻanā Allāh bi-barakatihimā fī al-dunyā wa-al-ākhirah, wa-jaʻalahu huwa wa-salafuhu fī shafāʻat Sayyid al-Mursalīn, wa-ḥsharahumā taḥta liwāʼihi Yawm al-Qiyāmah. Innahu ʻalá mā yashāʼu qadīr, wa-bi-al-ijābah jadīr. Wa-ghafara Allāh li-man saʻá fī hādhihi al-nuskhah, wa-li-kātibihā, wa-li-man naẓara fī dhālik wa-daʻā bi-khayr. Āmīn. Wa-lā ḥawla wa-lā qūwata illā billāh al-ʻAlī al-ʻAẓīm.""",ow
14526299,880-02 al-Minaḥ al-Makkīyah fī sharḥ al-Hamzīyah : manuscript / Aḥmad ibn Muḥammad ibn Ḥajar al-Haythamī.,14,"Translation of the colophon: ""This blessed copy was completed on blessed Monday, 15 Rabīʻ al-Awwal, 1075 of the Hijrah of the Prophet [6 October, 1664], may the best prayer and peace be upon him. Praise be to God alone. May [God] pray on the one who no prophet comes after him [Prophet Muḥammad]. Copied for our Master and Lord, the learned scholar, the muftī of the Muslims, the benevolent to the students, our Master Shaykh Aḥmad, the son of our Master and Lord, the learned laboror, the ascetic and righteous scholar, our Master Shaykh Ismāʻīl, may God benefit us with their blessing in this world and the Hereafter. May he and his predecessor be granted the intercession of the Master of the Messengers [Prophet Muḥammad] and be gathered under his banner on the Day of Resurrection. He [God] does what He pleases, and readily answers the requests. May God forgive whoever participated in this copy, its copyist and the reader who offers an invocation of welfare. Amen. There is no power nor might except in God the Almighty and All Powerful.""",ow
14526306,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 1 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,1,Title from reference sources.,a
14526306,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 1 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,2,"Incipit: ""Bismillāh al-Raḥmān al-Raḥīm. al-Ḥamdu lillāh alladhī anzala al-Qurʼān kalāman muʼallafan munaẓẓaman, wa-nazzalahu bi-ḥasab al-maṣāliḥ munajjaman, wa-jaʻalahu bi-al-taḥmīd muftataḥan, wa-bi-al-istiʻādhah mukhtataman, wa-awḥāhu ʻalá qismayn mutashābihan wa-muḥkaman, wa-faṣṣalahu suwaran, wa-suwaruhu āyāt, wa-mayyaza baynahunna bi-fuṣūl wa-ghāyāt, wa-mā hiya illā ṣifāt mubtadiʼ mubtadiʻ, wa-simāt munshiʼ mukhtariʻ, fa-subḥāna man istaʼthara bi-al-awwalīyah wa-al-qidam, wa-wasama kull shayʼ bi-al-ḥudūth ʻan al-ʻadam, anshaʼahu kitāban sāṭiʻan tibyānuhu, qāṭiʻan burhānuhu, waḥyan nāṭiqan bi-bayyināt wa-ḥujaj, Qurʼānan ʻArabīyan ghayr dhī ʻiwaj, miftāḥan lil-manāfiʻ al-dīnīyah wa-al-dunyāwīyah ...""",w
14526306,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 1 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,3,Secundo folio: wa-ʻalá jamīʻ al-Muhājirīn wa-al-Anṣār.,w
14526306,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 1 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,4,18.5 x 28 cm; written surface: 12 x 19.5 cm; 23 lines per page.,o
14526306,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 1 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,5,Binding: In dark brown leather with flap; central medallion on cover and flap.,o
14526306,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 1 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,6,"In good naskh/ruqʻah script; in black ink on white paper; headings and markings in red; many notes and commentaries on the margins; the titles of the sūrahs within decorative designs, colored in red, blue, black, green and gold; catchwords.",o
14526306,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 1 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,7,"On the label of the front cover: ""al-Juzʼ al-awwal min Tafsīr al-Kashshāf, min al-Fātiḥah li-ghāyat al-Aʻrāf, mudhahhab wa-muṭallā ruʼūs al-suwar.""",w
14526306,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 1 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,8,"At the head of the text on folio 1b: ""Bismillāh al-Raḥmān al-Raḥīm. Lā yamassuhu illā al-muṭahharūn. Tanzīl min Rabb al-ʻĀlamīn.""",w
14526306,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 1 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,9,"Colophon: No colophon. Text ends with: ""ʻAn Rasūl Allāh, ṣallá Allāh ʻalayh: Man qaraʼa Sūrat al-Aʻrāf jaʻala Allāh Yawm al-Qiyāmah baynahu wa-bayna Iblīs saddan, wa-kāna Ādam shafīʻan [la-hu] Yawm al-Qiyāmah.""",ow
14526315,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 3 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,1,Title from reference sources.,a
14526315,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 3 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,2,"Incipit: ""Sūrat al-Kahf. Makkīyah. Wa-hiya miʼah wa-iḥdá ʻashrata āyah. Bismillāh al-Raḥmān al-Raḥīm, wa-bi-hi nastaʻīn. Laqqana Allāh ʻibādahu wa-faqqaqahum kayfa yuthnūna ʻalayhi wa-yaḥmadūnahu ʻalá ajzal naʻmāʼihi ʻalayhim, wa-hiya niʻmat al-Islām, wa-mā anzala ʻalá ʻabdihi Muḥammad min al-Kitāb, alladhī huwa sabab najātihim wa-fawzihim, wa-lam yajʻal la-hu ʻiwajan, wa-lam yajʻal la-hu shayʼan min al-ʻiwaj qaṭṭ. Wa-al-ʻiwaj fī al-maʻānī ka-al-ʻiwaj fī al-aʻyān ...""",w
14526315,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 3 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,3,Secundo folio: Allāh waladan mutaʻalliq bi-al-mundharīn.,w
14526315,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 3 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,4,18.5 x 24.8 cm; written surface: 12.5 x 18 cm; 22 lines per page.,o
14526315,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 3 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,5,Binding: In dark brown leather.,o
14526315,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 3 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,6,In good naskh/ruqʻah script; in black ink on white paper; headings and markings in red; some notes and commentaries on the margins; catchwords.,ow
14526315,880-03 al-Kashshāf ʻan ḥaqāʼiq al-Tanzīl. Al-Juzʼ 3 : manuscript / Maḥmūd ibn ʻUmar al-Zamakhsharī.,7,"On folio 1a: Two partially legible ownership statements: 1. ""Mālik hādhā al-mamlūk [... ... ...]"". 2. ""Qad ishtaraytu hādhā al-tafsīr fī [... ... ...]. Seal of ""Muḥammad Ismāʻīl"".",o
