bib,title,note_num,note_text,original_type,reviewer_1_id,reviewer_1_review,reviewer_1_type,reviewer_1_rationale
17516887,Certificate of Canadian citizenship issued to Sophie Martens.,1,Title from publisher's website.,a,zid,y,,
17516888,Immigration identification cardissued to Lukas J. Boven.,1,Title from publisher's website.,a,zid,y,,
17516889,Immigration identification card issued to Elfriede Fischer and children.,1,Title from publisher's website.,a,zid,y,,
17516890,Canadian National Railway ticket.,1,Title from publisher's website.,a,zid,y,,
17516891,Baggage stickers and railway tickets.,1,Title from publisher's website.,a,zid,y,,
17516892,Immigration identification card issued to Ilga Bormanis.,1,Title from publisher's website.,a,zid,y,,
17516893,S.S. Waterman passenger list.,2,Title from publisher's website.,a,zid,y,,
17516894,Canadian National Railway's ticket folder.,1,Title from publisher's website.,a,zid,y,,
17516895,Dominion of Canada certificate of naturalization issued to Josef Kolembus.,1,Title from publisher's website.,a,zid,y,,
17516896,Danish passport issued to Anders K. Jensen.,1,Title from publisher's website.,a,zid,y,,
17516897,Passenger list from S.S. Maasdam.,2,Title from publisher's website.,a,zid,y,,
17516898,Canadian passport issued to Josephine LeVangie.,1,Title from publisher's website.,a,zid,y,,
17516899,Canadian National Railways pamphlet.,1,Title from publisher's website.,a,zid,y,,
17516900,Passenger list from S.S. Zuiderkruis.,2,Title from publisher's website.,a,zid,y,,
17516901,Passenger list from M.S. Johan van Oldenbarnevelt.,2,Title from publisher's website.,a,zid,y,,
17516902,Dock to destination.,1,Title from publisher's website.,a,zid,y,,
17516903,To Canada : Cunard Line.,1,Title from publisher's website.,a,zid,y,,
17516904,Australia's mining industries.,1,Title from publisher's website.,a,zid,y,,
17516905,Farming industries for small holders in Australia.,1,Title from publisher's website.,a,zid,y,,
17516906,Australia's industrial progress.,1,Title from publisher's website.,a,zid,y,,
17516907,Australia invites the British domestic girl.,1,Title from publisher's website.,a,zid,y,,
17516908,"Treasure island British Empire exhibition, Wembley 1925.",1,Title from publisher's website.,a,zid,y,,
17516909,Canada.,1,Title from publisher's website.,a,zid,y,,
17516910,"Log of the Euterpe of Southampton. Volume 1, 1884-1887.",2,Title from publisher's website.,a,zid,y,,
17516911,"Log of the Euterpe. Volume 1 (cont.), 1884-1885.",3,Title from publisher's website.,a,zid,y,,
17516912,"Log of the Euterpe. Volume 2, 1887-1888.",3,Title from publisher's website.,a,zid,y,,
17516913,"Log of the Euterpe. Volume 3, 1888-1890.",2,Title from publisher's website.,a,zid,y,,
17516914,"Log of the Euterpe. Volume 4, 1890-1892.",2,Title from publisher's website.,a,zid,y,,
17516915,"Log of the Euterpe. Volume 5, 1891-1892.",3,Title from publisher's website.,a,zid,y,,
17516916,"Log of the Euterpe. Volume 6, 1892-1893.",3,Title from publisher's website.,a,zid,y,,
17516917,"Log of the Euterpe. Volume 8, 1895-1896.",2,Title from publisher's website.,a,zid,y,,
17516918,"Log of the Euterpe. Volume 9, 1896-1897.",2,Title from publisher's website.,a,zid,y,,
17516919,"Log of the Euterpe. Volume 10, 1897-1900.",2,Title from publisher's website.,a,zid,y,,
17516920,"Log of the Euterpe. Volume 11, 1898-1899.",3,Title from publisher's website.,a,zid,y,,
17516921,"Log of the Euterpe. Volume 12, 1899-1900.",3,Title from publisher's website.,a,zid,y,,
17516922,"Log of the Euterpe. Volume 13, 1900-1903.",2,Title from publisher's website.,a,zid,y,,
17516923,"Log of the Euterpe. Volume 14, 1902-1904.",3,Title from publisher's website.,a,zid,y,,
17516924,"Log of the Euterpe. Volume 15, 1906-1907.",2,Title from publisher's website.,a,zid,y,,
17516925,"Log of the Star of India. Volume 17, 1909-1911.",2,Title from publisher's website.,a,zid,y,,
17516926,"Log of the Star of India. Volume 18, 1912-1915.",3,Title from publisher's website.,a,zid,y,,
17516927,"Log of the Star of India. Volume 19, 1918-1920.",2,Title from publisher's website.,a,zid,y,,
17516928,"Log of the Star of India. Volume 20, 1920-1923.",2,Title from publisher's website.,a,zid,y,,
17516929,New tales of Euterpe : Star of India as a British emigrant ship.,2,Title from publisher's website.,a,zid,y,,
17516930,"Landlord's log book for 97 Orchard Street, 1953 to 1981.",1,Title from publisher's website.,a,zid,y,,
17516931,Recipe for apples.,1,Title from publisher's website.,a,zid,y,,
17516932,Certificate of incorporation : congregation of the people of Grodna.,3,Title from publisher's website.,a,zid,y,,
17516933,The Jewish housewife's guide : laws for making meat kosher and other important information.,1,Title from publisher's website.,a,zid,y,,
17516934,Business card : M. Finkelstein.,1,Title from publisher's website.,a,zid,y,,
17516935,"Sheet of riddles : ""fun for the whole family, can you guess these taystee riddles"".",1,Title from publisher's website.,a,zid,y,,
17516936,Steinway & Sons : brief history and explanation of the Steinway system and piano fortes.,1,Title from publisher's website.,a,zid,y,,
17516937,"Invoice from New Aseptic Laboratories, Columbia, S.C. for medical supplies.",1,Title from publisher's website.,a,zid,y,,
17516938,Green ticket for high holidays.,1,Title from publisher's website.,a,zid,y,,
17516939,Selikhes ticket.,1,Title from publisher's website.,a,zid,y,,
17516940,Citizenship certificate : Kalmer Hochberger.,1,Title from publisher's website.,a,zid,y,,
17516941,Love letter.,1,Title from publisher's website.,a,zid,y,,
17516942,Feltly Hats business card.,1,Title from publisher's website.,a,zid,y,,
17516943,Discount hats business card.,1,Title from publisher's website.,a,zid,y,,
17516944,Dora Meltzer palmist calling card.,1,Title from publisher's website.,a,zid,y,,
17516945,"Calendar fragment [Nov. 1935],",1,Title from publisher's website.,a,zid,y,,
17516946,Kosher recipes.,1,Title from publisher's website.,a,zid,y,,
17516947,Calendar fragment [Feb. 1935].,1,Title from publisher's website.,a,zid,y,,
17516948,"Italian calendar, Jul-Aug 1934.",1,Title from publisher's website.,a,zid,y,,
17516949,"Seward Park library overdue book card, SW Ruin.",1,Title from publisher's website.,a,zid,y,,
17516950,C J Thom laundry ticket.,1,Title from publisher's website.,a,zid,y,,
17516951,Yiddish advertisement for English lessons.,1,Title from publisher's website.,a,zid,y,,
17516952,"Charles Schubert, butcher : business card.",1,Title from publisher's website.,a,zid,y,,
17516953,"Rules and regulations for plumbing and drainage water supply, gas piping and ventilation of buildings.",1,Title from publisher's website.,a,zid,y,,
17516954,"Act to amend the tenement house law, generally.",1,Title from publisher's website.,a,zid,y,,
17516955,Fire Engine Co. no. 9 ledger.,1,Title from publisher's website.,a,zid,y,,
17516956,Haggadah of Passover booklet.,2,Title from publisher's website.,a,zid,y,,
17516957,"Smulewitz's musical album, Ellis Island.",1,Title from publisher's website.,a,zid,y,,
17516958,Sign for Feltly hats.,2,Title from publisher's website.,a,zid,y,,
17516959,Sign for La Mode Bead & Novelty Co. Crystals & Pearls.,1,Title from publisher's website.,a,zid,y,,
17516960,Kosher Butchers Association sign.,2,Title from publisher's website.,a,zid,y,,
17516961,Cigarette card : union vs. non-union shops.,2,Title from publisher's website.,a,zid,y,,
17516962,Dobbs hats small sign.,2,Title from publisher's website.,a,zid,y,,
17516963,Millinery Workers Union stamp.,1,Title from publisher's website.,a,zid,y,,
17516964,Sign bearing shoe shop notice.,2,Title from publisher's website.,a,zid,y,,
17516965,Children's shoes advertising sign.,3,Title from publisher's website.,a,zid,y,,
17516966,"""Closed to-day, will re-open to-morrow"" sign.",2,Title from publisher's website.,a,zid,y,,
17516967,"""Hard to fit"" shoe store sign.",2,Title from publisher's website.,a,zid,y,,
17516968,"""Every day is bargain day here!"" store sign.",2,Title from publisher's website.,a,zid,y,,
17516969,"""New styles inside"" store sign.",2,Title from publisher's website.,a,zid,y,,
17516970,"""Sorry! Due to limited space we cannot display our many new styles"" store sign.",2,Title from publisher's website.,a,zid,y,,
17516971,"""We will be closed for the holidays"" store sign.",2,Title from publisher's website.,a,zid,y,,
17516972,"""Men's shoes in extra wide widths"" store sign.",2,Title from publisher's website.,a,zid,y,,
17516973,Universal Hosiery Company store sign.,1,Title from publisher's website.,a,zid,y,,
17516974,American Railway Express sign.,1,Title from publisher's website.,a,zid,y,,
17516975,Sign for German beer.,1,Title from publisher's website.,a,zid,y,,
17516976,"Letter, Rebecca Greaves from Plenty River to England.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516976,"Letter, Rebecca Greaves from Plenty River to England.",4,Title from publisher's website.,a,zid,y,,
17516977,Letter from John Hollway after arriving from England in Melbourne.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516977,Letter from John Hollway after arriving from England in Melbourne.,3,Title from publisher's website.,a,zid,y,,
17516978,"Shipboard letter from George Allen, voyage from England to Melbourne.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516978,"Shipboard letter from George Allen, voyage from England to Melbourne.",3,Title from publisher's website.,a,zid,y,,
17516979,"Letter, Reuben Gatward to Polly : life on the goldfields.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516979,"Letter, Reuben Gatward to Polly : life on the goldfields.",4,Title from publisher's website.,a,zid,y,,
17516980,"Letter, Reuben Gatward, Prahran, Melbourne to Polly, Luton, England.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516980,"Letter, Reuben Gatward, Prahran, Melbourne to Polly, Luton, England.",3,Title from publisher's website.,a,zid,y,,
17516981,"Shipboard diary, Walter Dutton, England to Australia, 1858.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516981,"Shipboard diary, Walter Dutton, England to Australia, 1858.",4,Title from publisher's website.,a,zid,y,,
17516982,"Letter from William to John Graham, Russell Creek, Victoria.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516982,"Letter from William to John Graham, Russell Creek, Victoria.",3,Title from publisher's website.,a,zid,y,,
17516983,"Letter, Robert Beckett's migrant voyage on the clipper ship 'Underley', England to Melbourne, Australia.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516983,"Letter, Robert Beckett's migrant voyage on the clipper ship 'Underley', England to Melbourne, Australia.",3,Title from publisher's website.,a,zid,y,,
17516984,"Alfred Elder shipboard diary on the Orient Line ship 'SS St Osyth', England to Australia.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516984,"Alfred Elder shipboard diary on the Orient Line ship 'SS St Osyth', England to Australia.",3,Title from publisher's website.,a,zid,y,,
17516985,"Diary written by Ally Heathcote on SS Northumberland, England to Melbourne : ""Steamship Northumberland : passage to Australia in 52 days : brief sketches of life on board a steam vessel"".",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516985,"Diary written by Ally Heathcote on SS Northumberland, England to Melbourne : ""Steamship Northumberland : passage to Australia in 52 days : brief sketches of life on board a steam vessel"".",3,Title from publisher's website.,a,zid,y,,
17516986,Diary written by Charles Care of his voyage from London to Melbourne on RMS Orient.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516986,Diary written by Charles Care of his voyage from London to Melbourne on RMS Orient.,3,Title from publisher's website.,a,zid,y,,
17516987,"Diary of David Yuile, on the SS City of Dunedin and SS Albion, Scotland to Victoria, via New Zealand.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516987,"Diary of David Yuile, on the SS City of Dunedin and SS Albion, Scotland to Victoria, via New Zealand.",3,Title from publisher's website.,a,zid,y,,
17516988,"Diary of M. P. O'Shea from the clipper ship Eastern City, Liverpool to Melbourne.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516988,"Diary of M. P. O'Shea from the clipper ship Eastern City, Liverpool to Melbourne.",3,Title from publisher's website.,a,zid,y,,
17516989,"Letter, from Thomasina Tye, England to Arthur Tye, Melbourne.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516989,"Letter, from Thomasina Tye, England to Arthur Tye, Melbourne.",3,Title from publisher's website.,a,zid,y,,
17516990,Caroline Chisholm scrapbook.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516990,Caroline Chisholm scrapbook.,3,Title from publisher's website.,a,zid,y,,
17516991,Emigration : its necessity and advantages.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516991,Emigration : its necessity and advantages.,3,Title from publisher's website.,a,zid,y,,
17516992,The comic almanack and diary.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516992,The comic almanack and diary.,3,Title from publisher's website.,a,zid,y,,
17516993,"A short guide for intending emigrants to Victoria, the garden state of Australia.",3,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516993,"A short guide for intending emigrants to Victoria, the garden state of Australia.",4,Title from publisher's website.,a,zid,y,,
17516994,Victoria : the irrigated areas : information for prospective settlers.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516995,Victoria for the settler : the irrigated areas.,2,Cover title.,a,zid,y,,
17516995,Victoria for the settler : the irrigated areas.,3,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516996,Off to school in the Australian bush : Postcard.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516996,Off to school in the Australian bush : Postcard.,4,Title from publisher's website.,a,zid,y,,
17516997,Stripping an average Australian wheat crop : Postcard.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516997,Stripping an average Australian wheat crop : Postcard.,4,Title from publisher's website.,a,zid,y,,
17516998,Harvest-time in Australia : Postcard.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516998,Harvest-time in Australia : Postcard.,4,Title from publisher's website.,a,zid,y,,
17516999,Breaking land for an orchard : Postcard.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17516999,Breaking land for an orchard : Postcard.,4,Title from publisher's website.,a,zid,y,,
17517000,Timber tramway in a beautiful setting : Postcard.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17517000,Timber tramway in a beautiful setting : Postcard.,4,Title from publisher's website.,a,zid,y,,
17517001,Mustering on a sheep station : Postcard.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17517001,Mustering on a sheep station : Postcard.,4,Title from publisher's website.,a,zid,y,,
17517002,A teamster's camp in Australia carting wheat to a railway station : Postcard.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17517002,A teamster's camp in Australia carting wheat to a railway station : Postcard.,4,Title from publisher's website.,a,zid,y,,
17517003,Dairy farming in Australia.,3,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17517003,Dairy farming in Australia.,4,Title from publisher's website.,a,zid,y,,
17517004,Wheat and sheep farming in Australia : Postcard.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17517004,Wheat and sheep farming in Australia : Postcard.,3,Title from publisher's website.,a,zid,y,,
17517005,Australia as I found it : being the actual experience of an English girl as told by herself.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17517005,Australia as I found it : being the actual experience of an English girl as told by herself.,3,Title from publisher's website.,a,zid,y,,
17517006,The peril of Melbourne.,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17517006,The peril of Melbourne.,3,Title from publisher's website.,a,zid,y,,
17517007,"Passenger contract ticket : Carpentaria, Liverpool to Melbourne.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17517007,"Passenger contract ticket : Carpentaria, Liverpool to Melbourne.",3,Title from publisher's website.,a,zid,y,,
17517008,"Passenger contract ticket : Netherby, Black Ball Line, steerage, London to Melbourne. [1].",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17517008,"Passenger contract ticket : Netherby, Black Ball Line, steerage, London to Melbourne. [1].",3,Title from publisher's website.,a,zid,y,,
17517009,"Passenger contract ticket : Netherby, Black Ball Line, steerage, London to Melbourne. [2].",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17517009,"Passenger contract ticket : Netherby, Black Ball Line, steerage, London to Melbourne. [2].",3,Title from publisher's website.,a,zid,y,,
17517010,"Passenger contract ticket : steerage passage on the Orient Line ship SS Liguria, London to Melbourne.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17517010,"Passenger contract ticket : steerage passage on the Orient Line ship SS Liguria, London to Melbourne.",3,Title from publisher's website.,a,zid,y,,
17517011,"Passenger contract ticket : TSS Marathon, issued to E & J Brookfield, London to Melbourne.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17517011,"Passenger contract ticket : TSS Marathon, issued to E & J Brookfield, London to Melbourne.",3,Title from publisher's website.,a,zid,y,,
17517012,"Passenger contract ticket : SS Benalla, issued to Hugh Clement & Walter Biddleston, London to Sydney.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17517012,"Passenger contract ticket : SS Benalla, issued to Hugh Clement & Walter Biddleston, London to Sydney.",3,Title from publisher's website.,a,zid,y,,
17517013,"Passport for Setsutaro Hasegawa, Japanese migrant.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17517013,"Passport for Setsutaro Hasegawa, Japanese migrant.",3,Title from publisher's website.,a,zid,y,,
17517014,Italian photography company leaflet [fragment].,2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17517014,Italian photography company leaflet [fragment].,3,Title from publisher's website.,a,zid,y,,
17517015,"Au crépuscule postcard : Lili Vrahamis to Letho Sigalas, Greece.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17517015,"Au crépuscule postcard : Lili Vrahamis to Letho Sigalas, Greece.",3,Title from publisher's website.,a,zid,y,,
17517016,"Au crépuscule postcard : Letho Sigalas to Lili Vrahamis, Cairo.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17517016,"Au crépuscule postcard : Letho Sigalas to Lili Vrahamis, Cairo.",3,Title from publisher's website.,a,zid,y,,
17517017,"Chourmouze high school certificate, Lili Vrahamis, Athens.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17517017,"Chourmouze high school certificate, Lili Vrahamis, Athens.",3,Title from publisher's website.,a,zid,y,,
17517018,"Passport for Stanio Fancoff, Bulgaria.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17517018,"Passport for Stanio Fancoff, Bulgaria.",3,Title from publisher's website.,a,zid,y,,
17517019,"Health certificate for Stanio Fancoff, Orient Line, Naples.",2,Please note: Some of the metadata for this document has been taken from the Museum Victoria catalogue.,a,zid,y,,
17517019,"Health certificate for Stanio Fancoff, Orient Line, Naples.",3,Title from publisher's website.,a,zid,y,,
17517020,Anchor Line (Henderson Brothers) Limited scrapbook.,1,Title from publisher's website.,a,zid,y,,
17517021,"Scrapbook of newspaper extracts on European ports : Antwerp, Rotterdam, Amsterdam, Hamburg.",1,Title from publisher's website.,a,zid,y,,
17517022,Canada : descriptive atlas.,1,Title from publisher's website.,a,zid,y,,
17517023,"Diary of emigrant Robert Pendlebury, passenger on SS Medic (White Star Line) Liverpool to Albany, Australia and train journey to Lawlers.",1,Title from publisher's website.,a,zid,y,,
17517024,"Letter from Berkshire County, Massachusetts, USA to Joseph Schofield in Liverpool.",1,Title from publisher's website.,a,zid,y,,
17517025,"Diary of a voyage from Auckland, New Zealand to Liverpool on ship Phoenix (White Star Line) / by passenger William Hodkinson.",2,Title from publisher's website.,a,zid,y,,
17517026,"To Canada and back : memoir and photographs of the Clark Family on their farmstead in Nova Scotia, Canada.",1,Title from publisher's website.,a,zid,y,,
17517027,Papers from the Neal family : including photographs and ephemera for RMS Aquitania and RMS Franconia.,1,Title from publisher's website.,a,zid,y,,
17517028,Money orders sent to Margaret McHugh from the Irish Emigrant Society of New York.,1,Title from publisher's website.,a,zid,y,,
17517029,Australia : information for you.,1,Title from publisher's website.,a,zid,y,,
17517030,Postcard of the Minnedosa : sent from the landing stage at Liverpool and a photograph of a group of adults and children behind the lifebelt of Carnarvon Bay.,1,Title from publisher's website.,a,zid,y,,
17517031,"Colonial emigration form no. 29 : form of certificate of provisions, medical comforts and miscellaneous articles for ship Avon, to Trinidad and certificate of scale of provisions and miscellaneous articles for emigrant vessels.",1,Title from publisher's website.,a,zid,y,,
17517032,Decorative postcard : SS Celtic hands across the sea.,1,Title from publisher's website.,a,zid,y,,
17517033,Victualling scale for steerage passengers to North America for 32 days.,1,Title from publisher's website.,a,zid,y,,
17517034,Information pamphlets for emigrants travelling to New Zealand.,1,Title from publisher's website.,a,zid,y,,
17517035,"Photographs and ephemera from an emigrant voyage to Canada on the Canadian Pacific ship Montrose, June 1924 and the return journey on Montclare, Jan 1925.",1,Title from publisher's website.,a,zid,y,,
17517036,"Surgeon's certificate of good treatment on the voyage for the ship Caroline taking emigrants at public expense to Moreton Bay, Brisbane, New South Wales [now Queensland], Australia.",1,Title from publisher's website.,a,zid,y,,
17517037,"County court, Kings County : certificate of naturalization for the United States of America for John Hughes.",1,Title from publisher's website.,a,zid,y,,
17517038,Henry Greenblatt papers.,1,Title from publisher's website.,a,zid,y,,
17517039,Collection of ephemera from Shaw Savill Line vessel Southern Cross.,1,Title from publisher's website.,a,zid,y,,
17517040,"Orient Line, Shaw Savill and Albion and Blue Star Line Voyage ephemera : particularly related to SS Orontes.",1,Title from publisher's website.,a,zid,y,,
17517041,Wills cigarette cards of famous British liners.,1,Title from publisher's website.,a,zid,y,,
17517042,"Sailing bills for Shaw Savill and Blue Funnel joint service, Liverpool to Australia.",2,Title from publisher's website.,a,zid,y,,
17517043,"Brochure for Dominion Monarch, Shaw Savill Line, England-South Africa-Australia-New Zealand.",2,Title from publisher's website.,a,zid,y,,
17517044,"Shaw Savill Lines, England, South Africa, Australia and New Zealand : fare schedule.",2,Title from publisher's website.,a,zid,y,,
17517045,"Passenger list : Shaw Savill and Albion Line, R.M.S. Ionic.",2,Title from publisher's website.,a,zid,y,,
17517046,"Passenger list : Shaw Savill and Albion Co., Ltd. : Royal Mail line between London and New Zealand via Panama Canal, R.M.S. Corinthic.",2,Title from publisher's website.,a,zid,y,,
17517047,"Unused passengers log : Shaw Savill and Albion Co., Ltd. : Royal Mail line between London and New Zealand via Panama Canal.",2,Title from publisher's website.,a,zid,y,,
17517048,"Shaw Savill & Albion Co. Royal Mail steamship line : London & Plymouth to Teneriffe, Capetown, Tasmania (Hobart), Australia & New Zealand : official guide and handbook, 1910.",2,Cover title.,a,zid,y,,
17517049,"Programme of entertainment in aid of the Liverpool seamen's orphanage on board R.M.S. Runic, Shaw Savill and Albion Line.",2,Title from publisher's website.,a,zid,y,,
17517050,"Timetable of Royal Mail steamers between London and New Zealand, Shaw Savill and Albion Co. Limited.",2,Title from publisher's website.,a,zid,y,,
17517051,"Christmas menus from R.M.S. Gothic, Shaw Savill and Albion (White Star Line).",2,Title from publisher's website.,a,zid,y,,
17517052,"Concert programme on board R.M.S. Doric, Shaw Savill and Albion Line, in aid of Dreadnought Seamans Hospital.",2,Title from publisher's website.,a,zid,y,,
17517053,"Sailing bill for Shaw Savill and Albion, Royal Mail steamers to and from New Zealand with fleet and fares.",2,Title from publisher's website.,a,zid,y,,
17517054,"Passenger list and log for R.M.S. Tainui, Shaw Savill and Albion Line : London-Plymouth-The Cape of Good Hope-Tasmania-New Zealand.",2,Title from publisher's website.,a,zid,y,,
17517055,"Passenger list and log for R.M.S. Ionic, Shaw Savill and Albion Line : London-Plymouth-Tenerife-The Cape of Good Hope-Tasmania-New Zealand.",2,Title from publisher's website.,a,zid,y,,
17517056,"Plan of poop accommodation for clipper ship Monarch and sailing bill for Shaw Savill and Albion, Royal Mail steamers between London and New Zealand with fleet and timetables.",2,Title from publisher's website.,a,zid,y,,
17517057,"Diary of a voyage from Liverpool to Melbourne, Australia and Auckland, New Zealand aboard ship General Roberts.",1,Title from publisher's website.,a,zid,y,,
17517058,Diary of a voyage from Liverpool to Auckland leaving Liverpool for Melbourne by the fine clipper ship General Roberts.,1,Title from publisher's website.,a,zid,y,,
17517059,"Henry S. King & Co's hand book for homeward-bound travellers from India, Australia, and the East.",1,Cover title.,a,zid,y,,
